T2,MODIS HAIN ET
Jul 2000,15.0
Jul 2001,18.0
Jul 2002,4.5
Jul 2003,41.9
Jul 2004,13.2
Jul 2005,33.6
Jul 2006,21.9
Jul 2007,63.4
Jul 2008,43.8
Jul 2009,26.7
Jul 2010,50.2
Jul 2011,15.7
Jul 2012,46.8
Jul 2013,5.7
Jul 2014,17.8
