"","MIXEDET"
"1983",-0.179193981986288
"1984",45.845506274702
"1985",50.8703520636975
"1986",37.7635709864152
"1987",-12.6778974472243
"1988",57.4760253681223
"1989",55.3818464461553
"1990",52.6436092031915
"1991",38.4065400831248
"1992",44.477585799936
"1993",24.6249119449954
"1994",59.7268347425827
"1995",58.4032456963041
"1996",34.4479722563049
"1997",25.6634146878485
"1998",64.9245767334265
"1999",84.4332372510063
"2000",59.5
"2001",26.4
"2002",8.5
"2003",49.6
"2004",31.2
"2005",56.3
"2006",56.5
"2007",80.3
"2008",72
"2009",35.2
"2010",74.9
"2011",45.8
"2012",38.2
"2013",57.2
"2014",34.7
