Time,NDVI
Oct 1981,0.6126613
Oct 1982,0.5876613
Oct 1983,0.4220968
Oct 1984,0.4511613
Oct 1985,0.5370806
Oct 1986,0.4673065
Oct 1987,0.3878226
Oct 1988,0.3975807
Oct 1989,0.4997742
Oct 1990,0.5214033
Oct 1991,0.425371
Oct 1992,0.5060968
Oct 1993,0.4407904
Oct 1994,0.4986936
Oct 1995,0.5555968
Oct 1996,0.3656936
Oct 1997,0.4596775
Oct 1998,0.3825161
Oct 1999,0.4285323
Oct 2000,0.5286613
Oct 2001,0.4765484
Oct 2002,0.5439355
Oct 2003,0.500129
Oct 2004,0.4431613
Oct 2005,0.4833549
Oct 2006,0.4708871
