"","MIXEDET"
"1983",43.0329528833871
"1984",8.16799456711857
"1985",4.51156755007562
"1986",35.2970094252124
"1987",47.8996723040097
"1988",27.4584825342084
"1989",39.6915376887291
"1990",23.2257440967758
"1991",27.9613718796405
"1992",75.9978508673921
"1993",25.7481439215373
"1994",26.463999547184
"1995",34.8108715317331
"1996",28.3815797466272
"1997",26.527624327995
"1998",21.4966945733227
"1999",47.5450486766632
"2000",8.6
"2001",13.2
"2002",3.3
"2003",31.2
"2004",10
"2005",38.1
"2006",29.9
"2007",59.9
"2008",49.6
"2009",31.5
"2010",51.6
"2011",20
"2012",44.5
"2013",6.8
"2014",30.3
