"","MIXEDET"
"1983",-21.6753945114265
"1984",31.6770173071519
"1985",39.2709243736833
"1986",50.9649054560495
"1987",20.8719944385388
"1988",38.3463185962794
"1989",24.812653665166
"1990",41.3328593950226
"1991",15.3252893064141
"1992",32.4111619165754
"1993",53.8435740315417
"1994",76.7282409332045
"1995",58.9644604176841
"1996",34.3244182467558
"1997",15.5612510804102
"1998",48.3142511534005
"1999",74.1168128935558
"2000",34.6
"2001",16.2
"2002",3.8
"2003",31.1
"2004",10.8
"2005",51.6
"2006",58.1
"2007",81.4
"2008",63
"2009",34.7
"2010",67
"2011",52.2
"2012",48.5
"2013",36.6
"2014",45.7
