T2,MODIS HAIN ET
Oct 2000,34.6
Oct 2001,16.2
Oct 2002,3.8
Oct 2003,31.1
Oct 2004,10.8
Oct 2005,51.6
Oct 2006,58.1
Oct 2007,81.4
Oct 2008,63.0
Oct 2009,34.7
Oct 2010,67.0
Oct 2011,52.2
Oct 2012,48.5
Oct 2013,36.6
Oct 2014,45.7
