"","MIXEDET"
"1983",72.5365933603909
"1984",7.09188405261057
"1985",45.4200745447643
"1986",49.5813001054875
"1987",67.5596694512054
"1988",32.3561944102266
"1989",88.0534355194746
"1990",35.1869334190349
"1991",64.8387715869784
"1992",70.8769284911535
"1993",55.5361898295089
"1994",9.02127309207494
"1995",54.529014615757
"1996",74.458609458131
"1997",76.1591549361629
"1998",21.5952447797016
"1999",59.4334954507243
"2000",48.6
"2001",20.6
"2002",7.8
"2003",89.2
"2004",49.5
"2005",91.7
"2006",84.3
"2007",83.7
"2008",85.4
"2009",58.2
"2010",68.5
"2011",34.5
"2012",75.4
"2013",20.7
"2014",62.8
