"","MIXEDET"
"1983",1.68723198558298
"1984",27.895224929634
"1985",51.5456293484707
"1986",51.7100158263459
"1987",-4.96022370386952
"1988",26.2361827257468
"1989",62.8308358728949
"1990",33.5772681205431
"1991",40.9301961822761
"1992",41.045501859995
"1993",26.6877431885082
"1994",64.2181380368928
"1995",50.0304947868534
"1996",29.0142928251823
"1997",27.8433224110019
"1998",64.8168553935024
"1999",75.2802577884814
"2000",42.2
"2001",16.6
"2002",5.9
"2003",41.7
"2004",29.8
"2005",59.3
"2006",66
"2007",76.6
"2008",62.5
"2009",42.9
"2010",83.3
"2011",61.5
"2012",53.9
"2013",67.8
"2014",50.3
