"","MIXEDET"
"1983",25.8274075549762
"1984",-1.6074124017454
"1985",45.4676915595713
"1986",-12.4632266917157
"1987",75.6808331341637
"1988",42.6347141322725
"1989",22.0545437589727
"1990",6.11320456360004
"1991",43.4716484956972
"1992",57.2660650993145
"1993",39.0320852098161
"1994",16.5200209182779
"1995",49.6848527069199
"1996",30.1107916349961
"1997",41.0410779216238
"1998",2.24508481642644
"1999",54.148564090727
"2000",9.2
"2001",19.4
"2002",6.4
"2003",46.9
"2004",5.6
"2005",43.1
"2006",26.4
"2007",71.9
"2008",56.3
"2009",31.8
"2010",55.3
"2011",21.6
"2012",50.2
"2013",10.4
"2014",22.8
