"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,28.92,3.8,43.61,0,0,53.56,53.56
1984,16,20.53,23.9,61.53,0,0,0,0
1985,16,3.32,10.4,59.15,100,0,0,100
1986,16,50,50,75,0,0,0,0
1987,16,37.07,24.11,48.35,0,0,34.6,34.6
1988,16,0,25,75,100,0,0,100
1989,16,41.59,40.25,62.9,0,0,0,0
1990,16,8.33,18.12,56.25,16.72,0,2.99,19.71
1991,16,45.04,47.6,75,0,0,0,0
1992,16,7.65,7.65,50,33.63,0,28,61.63
1993,16,26.38,25.79,75,0,0,0,0
1994,16,28.58,50,75,0,0,0,0
1995,16,22.3,31.37,60.17,0,0,0,0
1996,16,64.54,39.7,75,0,0,0,0
1997,16,21.56,32.22,60.04,0,0,0,0
1998,16,12.61,28.59,75,0,0,0,0
1999,16,15.11,40.11,75,0,0,0,0
2000,16,27.53,50,75,0,0,0,0
2001,16,29.54,25,50,0,0,28,28
2002,16,3.14,11.36,46.26,100,0,42.94,142.94
2003,16,31.58,37.61,59.16,0,0,0,0
2004,16,9.68,26.64,50.34,0,0,26.65,26.65
2005,16,12.67,37.67,75,0,0,0,0
2006,16,35.08,50,67.78,0,0,0,0
2007,16,8.85,26.49,75,3.79,0,0,3.79
2008,16,6.41,25,75,64.68,0,0,64.68
2009,16,12,22.73,60.73,0,0,0,0
2010,16,24.89,42.82,75,0,0,0,0
2011,16,29.49,11.82,57.33,0,0,0,0
2012,16,19.99,38.77,68.78,0,0,0,0
2013,16,25,35.1,60.1,0,0,0,0
2014,16,2.22,3.2,39.42,100,0,70.33,170.33
2015,16,9.01,16.27,43.33,0,0,54.69,54.69
2016,16,17.72,33.36,74.76,0,0,0,0
2017,16,4.63,25,70.66,100,0,0,100
2018,16,16.74,36.45,74.64,0,0,0,0
2019,16,40.91,35.08,73.51,0,0,0,0
