Time,HainET30Y Evapotranspiration
Jul 1983,29.65594
Jul 1984,28.90437
Jul 1985,37.85332
Jul 1986,35.10278
Jul 1987,46.84351
Jul 1988,33.33609
Jul 1989,28.98371
Jul 1990,31.27468
Jul 1991,37.91693
Jul 1992,31.03848
Jul 1993,37.19921
Jul 1994,29.82824
Jul 1995,36.39646
Jul 1996,44.50694
Jul 1997,36.73374
Jul 1998,30.43281
Jul 1999,33.6616
Jul 2000,41.85728
Jul 2001,31.57191
Jul 2002,37.47666
Jul 2003,29.60115
Jul 2004,29.81522
Jul 2005,36.86744
Jul 2006,36.48888
Jul 2007,33.03256
Jul 2008,31.63404
Jul 2009,22.91075
Jul 2010,39.00051
Jul 2011,32.6326
Jul 2012,30.17199
Jul 2013,29.75667
