"year","MIXEDET"
1983,16.981797425152
1984,18.8182399555379
1985,21.0546781883905
1986,28.2254286913614
1987,23.8298947829302
1988,24.4428405028243
1989,25.3651564518141
1990,24.9482528143157
1991,25.8575769071229
1992,21.3412531341842
1993,23.0742503249662
1994,31.4899302321312
1995,31.8723168097721
1996,31.1819359226313
1997,23.9307073533078
1998,31.4109206953471
1999,28.1005507580551
2000,38.60562
2001,34.49839
2002,26.06668
2003,27.43269
2004,22.96511
2005,24.6825
2006,35.77472
2007,26.9905
2008,26.50272
2009,24.23001
2010,28.41595
2011,28.86516
2012,18.88575
2013,29.1950947964379
2014,40.06575
