"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",16.89496,15.39883,13.73598,16.84936,18.44043,14.27023,16.41185,20.63857,17.61,18.85003,22.1343,18.13983,19.74157,22.996,19.98664,20.99219,24.41927,21.99182,23.11488,22.24776,20.13022,20.79684,18.85353,19.64837,24.00535,18.96585,19.26525,20.1128,19.42575,19.55587,19.23676
"Feb",20.80827,15.256,15.87117,17.29809,18.07997,15.61019,16.00313,18.96074,17.31611,19.6742,24.5518,18.94601,18.69161,26.99732,19.4356,20.24706,24.04519,23.58994,22.20894,26.83007,22.5018,20.74136,20.02351,20.08924,22.3431,22.65371,20.2482,22.37817,21.78053,22.6008,20.93919
"Mar",25.86645,25.23901,25.26413,26.12008,25.83173,23.24293,26.52529,27.31013,24.29371,27.30773,32.88883,26.47751,30.41213,31.4813,26.37309,28.79808,33.31134,33.28907,30.27765,36.63783,31.92003,28.45862,29.43921,30.47617,31.42059,29.99703,28.14625,27.1979,27.99343,30.47825,31.52093
"Apr",32.78825,29.66617,30.38383,26.62647,30.99466,27.87215,31.9259,28.80902,31.84845,29.30822,32.34385,30.2688,36.63558,38.31686,27.70977,37.29572,36.4057,35.40273,37.73996,37.28729,35.31025,32.53409,34.48037,37.46556,35.23807,33.21804,31.79985,36.58294,35.69115,36.97836,34.40539
"May",35.37884,28.46588,35.97892,38.9928,38.97232,36.23698,40.10746,33.99091,37.09882,37.27363,40.50045,38.35321,36.99542,46.09407,39.60443,38.63594,41.3252,39.16105,41.63589,38.93692,41.82864,39.21174,39.46415,45.81884,34.11057,35.72042,35.60471,38.65279,41.26001,40.98985,34.80299
"Jun",36.1574,26.13493,34.26828,27.52312,40.04863,32.24165,32.96801,29.34214,35.64785,32.72839,35.61114,31.62412,37.92633,36.45044,38.2406,39.95189,35.39341,36.50386,33.84721,35.74665,35.54607,32.23104,35.38436,36.01431,31.9947,30.40277,32.203,32.99115,36.4932,40.45188,36.16728
"Jul",35.79449,34.5095,33.78456,40.55381,43.82716,21.89443,37.93768,31.50204,38.16227,40.24862,36.34633,25.0616,32.99929,43.28261,45.45462,41.88298,43.04736,43.8145,43.29526,42.79798,38.69206,37.42223,40.64009,39.10426,45.53426,34.30523,31.14186,40.46954,50.12145,49.42875,45.97227
"Aug",29.40075,40.91076,39.63489,48.97647,48.07236,44.38501,33.65435,45.41602,50.63593,35.42644,45.30214,39.70543,56.51978,51.90513,55.50901,43.67508,58.73505,51.65833,47.84728,49.27392,46.32489,50.80407,47.86863,48.98526,56.54468,46.18369,47.68841,49.78897,51.02523,57.31684,55.16186
"Sep",44.52951,35.99536,45.63961,49.2801,45.833,48.25373,36.01229,37.46595,45.55639,49.43806,46.02899,51.12516,55.61489,52.97535,50.43257,56.30873,51.04956,48.43553,58.5203,53.30857,53.08527,46.63194,47.56045,55.69343,50.83595,45.52118,56.12752,58.39373,50.59565,53.1143,56.97633
"Oct",32.69134,34.07943,35.76986,41.18993,37.86753,38.33083,39.02797,38.71285,39.40017,35.98647,37.29637,43.65743,43.94646,43.42463,37.94373,43.59771,41.09554,42.5374,46.6026,47.1479,45.65174,39.5865,43.26168,48.43309,45.72903,36.51661,38.20712,47.53207,44.2096,40.09746,41.92286
"Nov",25.90603,22.40129,25.83511,27.31121,27.03057,26.94385,28.68889,23.70695,25.02536,29.06431,28.65254,28.62042,31.28895,27.9131,29.52014,32.8185,33.30343,32.81163,32.19447,31.36279,29.60282,27.5337,28.46061,31.9677,30.39058,26.25248,28.05198,29.73782,26.64242,27.94895,28.99344
"Dec",22.01174,17.56512,20.31665,18.59446,20.08089,17.46381,17.47062,19.35918,18.87238,23.66096,20.21984,22.33111,23.78748,24.33712,25.16734,25.7052,26.27999,23.53543,25.13867,23.15469,20.52647,20.38868,21.86206,23.94129,24.45896,21.72093,21.88104,24.25524,23.5123,20.66659,22.64598
