"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2014"
"Jan",18.93777,38.46645,49.97126,41.16195,35.56718,39.27179,18.04244,40.55229,22.82076,18.25818,20.99803,31.93126,26.34048,23.39516
"Feb",11.80208,28.56768,25.00792,29.08854,34.78503,26.8237,26.56246,34.93072,19.66439,15.21229,14.48899,20.2517,13.33178,26.42934
"Mar",15.79498,34.81007,28.76185,33.75101,27.86526,37.35656,27.67448,25.11127,5.925837,21.0068,25.81144,22.81908,16.51165,20.16874
"Apr",12.35917,24.04586,27.32741,29.52693,28.89334,19.3882,29.49331,24.40711,9.873142,14.50293,18.95193,17.46669,20.69149,15.66079
"May",11.07344,14.3286,11.22589,12.92625,10.51444,25.53781,17.89841,11.86454,11.5288,9.204572,19.67936,17.82112,13.44744,14.09311
"Jun",5.630983,4.992979,5.629446,11.33175,11.67261,14.41116,10.25445,13.9649,10.95238,6.666847,11.35675,13.13939,10.06945,8.736366
"Jul",20.5739,20.23334,15.93076,25.48537,22.94981,28.24219,26.78634,31.06102,18.48817,22.40738,31.88987,21.69997,23.20716,24.42065
"Aug",42.47957,45.68037,36.43011,40.35524,40.50146,35.43534,44.6653,45.67084,30.83703,35.37733,42.75486,41.11572,39.07675,36.46709
"Sep",44.14892,45.84485,45.28722,43.1572,34.96651,38.16998,45.99569,45.4562,35.182,32.18415,45.08162,43.52489,35.57597,43.44278
"Oct",38.60562,34.49839,26.06668,27.43269,22.96511,24.6825,35.77472,26.9905,26.50272,24.23001,28.41595,28.86516,18.88575,40.06575
"Nov",29.34831,23.28008,18.00384,22.34286,21.2174,19.02909,26.15444,20.28476,29.39104,15.44802,22.89574,40.80075,16.48415,30.54563
"Dec",36.77049,20.20195,37.89308,23.30197,32.91737,13.58152,40.32264,16.4705,18.33285,22.3742,18.46195,28.4161,15.58421,21.77326
