"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3509886,0.1927556,0.2671017,0.3212743,0.2963361,0.3813871,0.2680847,0.2094801,0.2664683,0.2608746,0.2706154,0.24983,0.2944094,0.2458362,0.2500352,0.3783609,0.3267802,0.2632062,0.222262,0.2304945,0.2922303,0.212624,0.2032893,0.2366717,0.2861782,0.277968
"Aug",0.4622177,0.29784,0.3611404,0.3212067,0.3061685,0.4227956,0.2951654,0.401633,0.3982495,0.3792059,0.3267213,0.3579508,0.335311,0.3949864,0.4293109,0.4106579,0.389944,0.4248691,0.4188167,0.4053989,0.4395888,0.3858155,0.4061537,0.3759325,0.3964353,0.3480322
"Sep",0.5026471,0.3938137,0.4326068,0.2996714,0.363351,0.4602918,0.36908,0.5931063,0.3847895,0.3488781,0.3892461,0.5091844,0.3540368,0.557136,0.5542805,0.451078,0.3521342,0.553857,0.5587901,0.5191248,0.5434977,0.500718,0.5009907,0.4043807,0.4424587,0.495207
"Oct",0.4587672,0.4487826,0.3743747,0.3356814,0.3625509,0.3921839,0.3634368,0.4091744,0.3940675,0.3630241,0.3796841,0.5049894,0.3740769,0.5135923,0.4275098,0.3804118,0.3533801,0.4805298,0.474641,0.4694147,0.4487249,0.441688,0.451384,0.3567691,0.3712786,0.4368652
"Nov",0.393203,0.3993746,0.3791338,0.3083139,0.3470408,0.3275672,0.3344798,0.3739458,0.3305056,0.3268646,0.3418273,0.4028375,0.3701466,0.3736482,0.349382,0.3476156,0.3757569,0.4260905,0.4358561,0.4953361,0.4329426,0.3412222,0.3757997,0.2866925,0.3184973,0.3719794
"Dec",0.3352532,0.3824398,0.3238965,0.3120155,0.3204676,0.3085455,0.2899346,0.3637826,0.2698212,0.3089967,0.3389223,0.3200371,0.3487236,0.3260731,0.2732947,0.332962,0.393584,0.3778498,0.3450711,0.4478707,0.3675284,0.2708056,0.3774742,0.2670526,0.284049,0.3086001
"Jan",,0.2589903,0.3325751,0.2857067,0.3421549,0.2780007,0.2735828,0.2833466,0.3137521,0.3128354,0.2771685,0.26642,0.3088187,0.3180425,0.2770406,0.2461828,0.2792011,0.2692897,0.3253933,0.3051339,0.3648195,0.2954402,0.2861161,0.2823753,0.2647027,0.2541989
"Feb",,0.2490042,0.2545531,0.311021,0.2486899,0.2238509,0.2378062,0.2500641,0.3036324,0.2663752,0.2584288,0.2397131,0.2637924,0.2837099,0.241651,0.2593523,0.2765538,0.3102421,0.338815,0.292103,0.2948488,0.3649194,0.2461963,0.2683687,0.2606816,0.215037
"Mar",,0.3331309,0.175822,0.2922843,0.2450254,0.2946437,0.1993061,0.3452175,0.296328,0.3562248,0.2644585,0.3381093,0.3175975,0.2639745,0.2757229,0.233247,0.2167269,0.2871684,0.254992,0.2589066,0.2638285,0.3038959,0.2742731,0.2381459,0.2566457,0.2185827
"Apr",,0.3580191,0.2935881,0.2889703,0.2779028,0.321008,0.3699234,0.2931384,0.3876568,0.3099892,0.3270983,0.3396868,0.2722268,0.3376356,0.2680844,0.3691836,0.2917375,0.2786,0.2486761,0.2340528,0.351512,0.3378682,0.260584,0.2540161,0.2636047,0.3193434
"May",,0.3291847,0.3725429,0.2746809,0.3725623,0.3537366,0.3450411,0.282715,0.3551403,0.2797001,0.2863056,0.3229057,0.3665813,0.3588737,0.281126,0.3669795,0.2642357,0.3046745,0.1872387,0.2768206,0.2900333,0.290379,0.2673772,0.2694346,0.2701699,0.3239085
"Jun",,0.2566075,0.4079696,0.3026398,0.3348193,0.3243471,0.3320284,0.2363927,0.2717521,0.2258643,0.3117286,0.2642189,0.3810084,0.2413795,0.2663468,0.3689019,0.2278319,0.227345,0.1898209,0.2482107,0.231164,0.189364,0.1974799,0.1887757,0.2278673,0.2278946
