"time","crop","value"
"1983","Barley",85
"1984","Barley",98
"1985","Barley",94
"1986","Barley",100
"1987","Barley",80
"1988","Barley",100
"1989","Barley",100
"1990","Barley",100
"1991","Barley",100
"1992","Barley",92
"1993","Barley",100
"1994","Barley",97
"1995","Barley",94
"1996","Barley",97
"1997","Barley",100
"1998","Barley",100
"1999","Barley",100
"2000","Barley",100
"2001","Barley",99
"2002","Barley",93
"2003","Barley",93
"2004","Barley",96
"2005","Barley",99
"2006","Barley",97
"2007","Barley",100
"2008","Barley",100
"2009","Barley",100
"2010","Barley",97
"2011","Barley",100
"2012","Barley",97
"2013","Barley",97
"2014","Barley",100
"2015","Barley",100
"2016","Barley",94
"2017","Barley",97
"2018","Barley",100
"1983","Maize",100
"1984","Maize",85
"1985","Maize",97
"1986","Maize",100
"1987","Maize",94
"1988","Maize",85
"1989","Maize",100
"1990","Maize",90
"1991","Maize",95
"1992","Maize",84
"1993","Maize",100
"1994","Maize",97
"1995","Maize",93
"1996","Maize",100
"1997","Maize",100
"1998","Maize",100
"1999","Maize",99
"2000","Maize",98
"2001","Maize",97
"2002","Maize",71
"2003","Maize",64
"2004","Maize",69
"2005","Maize",85
"2006","Maize",97
"2007","Maize",100
"2008","Maize",100
"2009","Maize",100
"2010","Maize",88
"2011","Maize",98
"2012","Maize",87
"2013","Maize",100
"2014","Maize",100
"2015","Maize",100
"2016","Maize",97
"2017","Maize",97
"2018","Maize",100
"1983","Sorghum",100
"1984","Sorghum",81
"1985","Sorghum",97
"1986","Sorghum",99
"1987","Sorghum",94
"1988","Sorghum",79
"1989","Sorghum",100
"1990","Sorghum",77
"1991","Sorghum",100
"1992","Sorghum",80
"1993","Sorghum",100
"1994","Sorghum",95
"1995","Sorghum",91
"1996","Sorghum",100
"1997","Sorghum",100
"1998","Sorghum",99
"1999","Sorghum",90
"2000","Sorghum",92
"2001","Sorghum",96
"2002","Sorghum",68
"2003","Sorghum",60
"2004","Sorghum",70
"2005","Sorghum",83
"2006","Sorghum",90
"2007","Sorghum",100
"2008","Sorghum",100
"2009","Sorghum",97
"2010","Sorghum",92
"2011","Sorghum",93
"2012","Sorghum",88
"2013","Sorghum",100
"2014","Sorghum",100
"2015","Sorghum",100
"2016","Sorghum",97
"2017","Sorghum",97
"2018","Sorghum",100
"1983","Teff",100
"1984","Teff",100
"1985","Teff",94
"1986","Teff",97
"1987","Teff",93
"1988","Teff",100
"1989","Teff",100
"1990","Teff",100
"1991","Teff",100
"1992","Teff",100
"1993","Teff",100
"1994","Teff",97
"1995","Teff",93
"1996","Teff",97
"1997","Teff",100
"1998","Teff",100
"1999","Teff",100
"2000","Teff",100
"2001","Teff",100
"2002","Teff",100
"2003","Teff",100
"2004","Teff",100
"2005","Teff",100
"2006","Teff",97
"2007","Teff",100
"2008","Teff",100
"2009","Teff",100
"2010","Teff",94
"2011","Teff",100
"2012","Teff",97
"2013","Teff",97
"2014","Teff",100
"2015","Teff",100
"2016","Teff",94
"2017","Teff",97
"2018","Teff",100
"1983","Wheat",98
"1984","Wheat",100
"1985","Wheat",94
"1986","Wheat",100
"1987","Wheat",94
"1988","Wheat",100
"1989","Wheat",100
"1990","Wheat",100
"1991","Wheat",100
"1992","Wheat",99
"1993","Wheat",100
"1994","Wheat",97
"1995","Wheat",97
"1996","Wheat",97
"1997","Wheat",100
"1998","Wheat",100
"1999","Wheat",100
"2000","Wheat",100
"2001","Wheat",100
"2002","Wheat",100
"2003","Wheat",100
"2004","Wheat",100
"2005","Wheat",100
"2006","Wheat",97
"2007","Wheat",100
"2008","Wheat",100
"2009","Wheat",100
"2010","Wheat",97
"2011","Wheat",100
"2012","Wheat",97
"2013","Wheat",100
"2014","Wheat",100
"2015","Wheat",100
"2016","Wheat",97
"2017","Wheat",97
"2018","Wheat",100
