"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",11.90797,14.22719,12.9039,13.67842,13.80937,11.02344,10.09101,17.68736,13.52847,14.84282,15.48144,14.13483,14.24255,19.86249,15.88196,14.95913,20.94085,19.81161,18.63076,17.77194,16.49869,15.78831,13.80966,15.01261,18.78496,15.1821,15.16239,16.06343,17.61747,17.11099,17.13078
"Feb",16.44499,14.54158,12.72013,12.05495,12.75281,12.56532,10.34187,15.65672,13.03918,14.15903,15.49946,12.95071,15.75045,21.04365,16.40008,17.666,21.08629,21.11545,19.92789,21.64021,18.48293,17.60385,16.86455,16.60977,18.3148,17.46835,16.85617,15.99254,18.39576,19.80657,18.47941
"Mar",18.85021,18.59412,20.334,19.41764,22.2424,16.72355,16.11317,21.93871,20.18624,19.4715,24.64151,18.51252,24.34313,24.66426,20.78762,23.61587,30.49506,27.93853,24.91347,28.85548,24.74883,24.13715,22.65196,22.78068,25.15127,24.10256,23.03633,21.22601,24.67655,26.70422,26.73128
"Apr",23.59661,20.97711,26.57215,18.77806,25.45664,22.09011,19.60062,22.34562,24.65579,21.09635,25.90998,24.99894,30.87321,30.91265,23.91376,26.4775,31.77988,30.11209,31.36552,28.45821,26.44535,29.39178,28.23046,27.83398,28.07746,25.04464,27.94709,26.83798,30.69814,32.67997,31.48014
"May",27.6959,24.66055,30.63365,37.06999,34.20114,30.69864,31.28978,31.63565,27.11637,29.64205,34.95504,30.66602,32.45535,38.09732,32.73849,30.082,35.70972,34.70367,35.48485,31.42122,31.83678,34.38873,35.16642,37.02943,32.31927,29.37412,30.83996,33.92981,35.33158,34.75058,34.35514
"Jun",30.50677,28.77282,36.75074,28.24601,38.43675,28.99058,32.66603,29.95776,31.89537,32.85312,37.69106,31.54845,32.83519,31.74925,36.48323,33.84466,34.48642,37.87495,36.33069,32.94156,33.13311,32.30189,33.24258,33.72334,32.04702,30.34212,28.59439,32.52697,37.37452,39.26891,38.58
"Jul",35.23878,36.50638,35.79497,38.22821,38.481,23.08097,36.67465,30.53531,36.60746,38.86068,37.86135,28.37213,34.61869,43.21901,43.76802,41.14811,44.09053,47.36937,45.6698,40.61477,37.56719,37.97718,40.62666,36.45183,45.46605,34.5546,30.57628,39.14919,46.85772,50.42232,48.66728
"Aug",28.81433,40.54404,38.87905,49.66324,42.57555,43.244,30.47832,41.71673,43.26138,32.35431,44.45054,42.27514,56.20637,47.82739,51.12487,42.59259,58.32399,52.62635,50.72552,45.14034,44.75229,45.35103,46.09033,45.65744,53.97474,44.26666,40.68354,50.37441,46.92648,56.04543,51.18502
"Sep",39.57941,35.93224,42.50428,46.66029,41.08747,47.04685,33.73018,34.05167,43.46904,44.48644,43.18906,47.09848,53.21782,51.84346,43.00141,55.14109,51.38969,46.11619,53.8175,45.54897,49.85259,39.95452,44.46149,48.10239,47.28609,42.99825,50.60942,51.62037,52.28341,52.41916,49.55565
"Oct",31.33006,28.16026,30.11016,36.34793,30.1706,35.44825,32.46582,31.04849,35.38339,32.11621,31.54457,36.02148,38.72813,39.5021,32.24848,42.11282,42.01324,38.80986,42.41324,36.41721,39.17363,32.5621,36.04037,39.6549,38.48186,31.91941,33.58247,41.03767,37.54538,35.86949,36.73434
"Nov",21.20665,18.57254,19.60582,22.5555,22.91952,21.3453,20.80345,17.5763,19.18946,22.73144,22.16794,23.05856,25.63226,23.9011,26.88194,26.99042,29.87142,27.80374,27.58862,23.46713,22.84845,21.60866,23.19037,25.02285,25.1958,22.05482,22.44025,25.47875,25.1952,23.95799,22.94334
"Dec",18.86507,14.37564,16.01242,14.80356,16.31735,8.009543,14.66331,13.68748,15.43227,18.07961,16.9733,17.78824,19.68017,19.73339,19.8315,20.80239,23.3442,20.52539,20.95668,18.7781,16.21776,16.06832,18.74297,18.70545,20.47381,16.63798,18.11754,19.50215,21.82818,18.2393,18.22897
