"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",2.517769,0.9164771,0.8752143,0.4260175,2.105188,1.256681,1.6317,2.295245,1.469046,4.2771,2.895832
"Feb",1.498598,0.6510486,0.7585239,1.574895,1.853792,1.48485,2.485782,3.017463,1.963108,2.790235,3.994016
"Mar",1.747701,3.3562,1.738661,2.204777,2.409233,3.263322,3.214512,4.021782,3.336683,3.245701,3.606804
"Apr",4.012517,6.368609,3.166642,4.722459,4.490268,3.725622,4.449886,5.124251,4.945173,5.75756,5.470968
"May",4.799853,5.860442,5.14977,5.485583,5.823449,4.537033,4.652558,7.203907,6.439055,7.906664,7.568936
"Jun",6.383967,6.280544,8.233485,6.235223,6.174687,8.05207,8.219934,7.338176,6.827135,6.952002,7.537748
"Jul",17.48233,11.77864,14.40628,14.02415,13.65833,15.17293,14.3892,13.89117,11.93575,15.20062,13.52616
"Aug",15.16215,14.07998,13.89276,16.04942,16.05775,15.85076,16.12333,15.86544,14.92241,18.09414,16.91106
"Sep",7.81176,6.42455,6.00517,8.499468,6.539637,6.948289,5.865855,9.120002,7.564373,7.414173,9.51192
"Oct",1.762844,1.890243,1.725819,1.780289,1.604252,2.482221,2.530524,3.459178,2.374812,2.312505,2.928465
"Nov",0.7776814,2.427489,1.248862,1.148728,1.92597,1.648436,1.470117,1.114305,2.487963,1.741518,2.230983
"Dec",1.04205,0.7090237,1.468909,1.061426,1.716161,1.664098,1.586633,0.6272391,3.361918,1.619274,2.770955
