"year","MIXEDET"
1983,10.1537003242767
1984,10.8235283188719
1985,10.4476034737828
1986,11.7333815343453
1987,11.8669613850503
1988,3.72924348381395
1989,10.9124459243078
1990,7.66828230775796
1991,10.8769412359544
1992,12.0675927301024
1993,11.5395245620376
1994,6.52520994948356
1995,9.82603099549108
1996,14.3706311047351
1997,14.6607401827666
1998,13.2763215480868
1999,14.8311616300189
2000,9.353695
2001,12.7844
2002,6.890164
2003,11.78024
2004,9.421697
2005,13.62079
2006,13.06185
2007,20.0799
2008,9.966779
2009,10.96673
2010,14.60757
2011,10.88471
2012,13.54337
2013,17.2496179839665
2014,11.66232
