"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3501484,0.22209,0.2957093,0.3690577,0.3477978,0.3764736,0.3259464,0.2599532,0.3199162,0.3330041,0.2982939,0.2830026,0.3333231,0.2463785,0.2577724,0.3443575,0.3456287,0.2297952,0.220947,0.2319107,0.2747431,0.2267727,0.1879558,0.2614732,0.322722,0.2965298
"Aug",0.4853137,0.3610421,0.3657774,0.3794435,0.3530678,0.4886213,0.3115055,0.4124495,0.3947206,0.3976068,0.3996835,0.3830784,0.4066493,0.4403217,0.5086072,0.402755,0.4634362,0.3930103,0.4321777,0.3527516,0.4273418,0.3113229,0.3815868,0.3929645,0.439743,0.3585434
"Sep",0.5633781,0.4814427,0.5572708,0.3821287,0.372285,0.494006,0.3692872,0.5916715,0.3958738,0.4238829,0.524145,0.5593631,0.4293592,0.5987292,0.5896623,0.4915488,0.4446178,0.5564224,0.5509942,0.452914,0.5756847,0.492725,0.5208237,0.442478,0.5055987,0.5051637
"Oct",0.5027413,0.5842876,0.4837967,0.4124823,0.3824851,0.4391534,0.4591794,0.51509,0.4488813,0.4249459,0.4675666,0.5076953,0.4411865,0.5302994,0.4758575,0.4380768,0.4432262,0.5129897,0.4696595,0.4856601,0.5068333,0.4933603,0.4972785,0.4146774,0.4400691,0.4608468
"Nov",0.4108106,0.4934605,0.4226961,0.3616472,0.4002805,0.3693531,0.4564441,0.447266,0.4226425,0.3947519,0.418172,0.3916427,0.4228954,0.4011478,0.4253999,0.400474,0.4311358,0.4755627,0.5061828,0.4835224,0.5147676,0.3941508,0.4393083,0.3546203,0.3952964,0.3973371
"Dec",0.3578938,0.3916057,0.3545673,0.3608335,0.3722577,0.3288287,0.3813822,0.4231857,0.3242518,0.3907323,0.3736394,0.3398083,0.4084137,0.3449803,0.3405244,0.3651571,0.4942414,0.4466813,0.4138923,0.4978503,0.4646758,0.2936313,0.4281567,0.327785,0.3787772,0.3539499
"Jan",,0.2622028,0.3640109,0.3023621,0.3586594,0.3382237,0.3097172,0.3269166,0.3846074,0.3684255,0.3655663,0.3011125,0.3484001,0.3748327,0.2892185,0.2741735,0.3220949,0.3423518,0.3735479,0.3599927,0.4034259,0.324128,0.3485267,0.3063974,0.3098603,0.3162465
"Feb",,0.2416837,0.2919149,0.3413526,0.244435,0.2723559,0.3020829,0.2964787,0.3464298,0.3015306,0.3474753,0.2925717,0.3178988,0.3301395,0.2507423,0.3045531,0.3378895,0.3372838,0.3723071,0.3186691,0.3253316,0.4032008,0.3088704,0.3013464,0.2964701,0.2429261
"Mar",,0.3296419,0.2498443,0.3172793,0.2627002,0.3259899,0.2342172,0.3879271,0.3306373,0.3768156,0.3362626,0.3563317,0.3555247,0.2937275,0.2506115,0.2771644,0.2906567,0.2689902,0.2616615,0.2875889,0.3167948,0.3141081,0.3075234,0.2783552,0.2798899,0.2444008
"Apr",,0.3514879,0.3183226,0.3214884,0.3122502,0.3316576,0.3679227,0.3492196,0.3794567,0.360267,0.3639665,0.3370948,0.3172546,0.3224055,0.2995489,0.4285398,0.3203732,0.3108741,0.2585698,0.2482079,0.3286522,0.3234652,0.2741483,0.2949938,0.2801252,0.306118
"May",,0.3259555,0.3285283,0.2866355,0.4528379,0.3569167,0.3684096,0.3466448,0.4044823,0.350769,0.3480603,0.3134441,0.41561,0.3378911,0.3957572,0.3399204,0.3201441,0.3233889,0.2339676,0.2957813,0.3237437,0.3057925,0.2877354,0.3249173,0.3024916,0.3326924
"Jun",,0.2725191,0.363222,0.3144387,0.3827417,0.2867442,0.4212196,0.3029474,0.3428971,0.3102605,0.3506707,0.2851137,0.3945435,0.2694222,0.3408167,0.3549792,0.3094033,0.2549078,0.2095573,0.2569042,0.2547606,0.2446665,0.2263419,0.2469217,0.2885549,0.2590874
