"year","MIXEDET"
1983,12.4220195741162
1984,9.0226627809347
1985,11.113774463383
1986,17.8032835250916
1987,11.1785915258412
1988,16.838448734351
1989,13.6400312693096
1990,12.1200582856261
1991,16.7688915756641
1992,13.2651025266557
1993,12.6520643800047
1994,17.4531920287404
1995,20.3558575168674
1996,21.1858783942788
1997,13.4069515149307
1998,23.9856666355227
1999,23.8788750557811
2000,25.24588
2001,23.51847
2002,12.35951
2003,16.2816
2004,12.32175
2005,12.50343
2006,17.59976
2007,16.47687
2008,21.70899
2009,15.12689
2010,17.89982
2011,17.35846
2012,13.2409
2013,18.2176773223196
2014,22.01814
