"year","MIXEDET"
1983,13.2813810221799
1984,21.8484681444215
1985,18.9232015751987
1986,25.2565619005831
1987,19.8111657144231
1988,19.3331883193304
1989,26.4136037192412
1990,21.1034559082611
1991,23.4394649710937
1992,15.4028140856495
1993,16.3242277538444
1994,26.0502435912502
1995,21.7539517830742
1996,25.2205237367366
1997,19.7076515077536
1998,25.4730247964521
1999,26.9438840141786
2000,24.70438
2001,27.53198
2002,14.33788
2003,22.73116
2004,19.29122
2005,20.64149
2006,29.71826
2007,24.38481
2008,24.39444
2009,22.95825
2010,22.06459
2011,22.66787
2012,18.7069
2013,20.6220477922484
2014,33.7611
