"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",16.35088,17.39813,17.70601,18.55621,19.52723,17.87079,22.16242,18.43835,18.2764,20.90626,19.51242,19.17525,19.53086,21.12549,20.27577,18.71161,22.88886,19.53442,19.98149,20.46078,19.06016,20.4494,19.41029,19.85035,20.76978,18.97001,20.11497,21.35288,19.10404,19.24418,19.26374
"Feb",17.71024,15.56132,18.4564,19.16265,18.73769,19.67723,25.8113,19.26583,18.05409,19.38191,19.11781,20.0888,18.58704,22.54176,19.33547,18.85755,18.16546,20.71414,19.91017,21.54148,19.85779,18.29064,18.60548,20.30431,21.1427,20.16305,21.26769,24.37718,19.73657,20.77055,19.81276
"Mar",24.20164,24.46986,23.21552,25.08899,25.88564,23.73946,26.7937,23.01877,25.81104,24.92944,26.95752,30.27925,27.46694,28.54797,22.58128,24.07116,30.16026,28.15127,26.88714,29.94155,26.38889,26.51387,28.12255,28.84476,27.53224,27.40779,28.47737,29.82972,26.48976,28.53301,29.56196
"Apr",27.64286,27.16113,24.96535,27.32401,27.85292,24.98188,29.98776,24.43692,27.35325,24.99936,29.4977,29.48841,32.69106,31.51702,24.0401,29.02357,29.17521,27.42026,30.07692,31.12909,32.20891,30.22066,30.80029,29.98567,32.04113,30.39387,30.89635,31.04729,31.12172,31.50975,31.74812
"May",24.42924,27.84628,27.69273,27.92162,30.67307,28.01593,29.09338,25.72301,34.272,30.35579,30.74094,28.50996,29.62623,34.13321,27.40864,26.52055,29.5018,30.42627,31.87687,31.53635,32.41764,34.44423,31.31045,32.0387,28.56751,30.4841,33.33464,32.77652,29.82664,34.86121,29.75645
"Jun",23.73575,23.80602,23.16352,21.96406,25.5873,24.26209,24.19941,22.74765,26.60121,24.48294,24.90541,22.01038,26.37562,26.82481,26.16968,23.21571,25.85382,27.53236,26.83787,27.6455,25.78885,28.20796,26.50134,28.52277,25.50779,25.62426,26.81812,27.66555,28.15321,28.58982,28.47984
"Jul",25.5615,27.74448,26.26512,23.17268,31.40355,18.74122,24.76843,22.50934,23.30709,32.54704,26.72355,20.79212,21.66552,26.26067,27.91097,27.06891,29.88745,31.46441,31.60099,28.08757,28.54088,27.17761,26.78144,28.02542,32.90992,24.0829,22.16456,23.81531,33.91014,31.54488,28.44682
"Aug",21.17928,30.15468,28.3287,36.4873,35.28291,30.7894,28.91337,33.75999,33.57057,25.59562,31.94919,28.72783,35.76475,32.2958,37.57729,28.67463,38.70824,32.02612,29.19305,31.15043,30.85455,31.96736,35.35245,34.04731,41.04435,28.52267,36.88842,25.47868,32.53218,40.98617,34.92677
"Sep",36.16832,34.1278,36.78366,38.01163,35.57092,38.92506,30.87721,28.59118,39.00465,35.39855,33.44292,40.24137,40.47625,42.0629,34.39922,43.58764,42.56097,36.15882,42.53119,36.41496,38.01179,34.82918,35.14828,39.09922,37.16239,28.99438,43.08342,42.56664,37.38134,41.79058,40.06987
"Oct",27.75045,33.24422,31.36835,35.42971,31.93777,31.63126,36.17168,32.76647,34.26447,29.11085,29.70172,35.93867,33.18361,35.4066,31.87139,35.56852,36.51173,31.95966,35.67258,34.92467,36.45412,30.79123,34.4113,36.63274,37.91807,32.09002,33.10003,36.41466,35.57278,35.76315,32.45776
"Nov",23.38923,21.71363,22.9705,23.54769,24.30836,24.01225,24.74705,21.53662,23.61798,25.13508,24.44092,25.2378,25.62068,26.2872,26.19891,27.13137,26.61808,27.19434,26.89142,24.16003,25.02826,23.96552,25.7116,26.34997,26.14236,25.0073,24.39939,26.36039,23.5137,24.38287,24.25213
"Dec",19.69715,17.9585,19.36957,21.03867,20.78526,19.85263,18.76095,17.62806,20.58602,21.86979,19.75599,20.63449,22.87519,20.71546,20.64105,21.61613,23.45539,22.48973,22.38849,21.67681,19.39692,20.22421,19.73854,21.72999,21.09987,20.04625,21.79797,21.41353,20.79691,19.52264,20.47839
