"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3088007,0.1928537,0.1517955,0.189777,0.2151081,0.3436998,0.2531044,0.2136004,0.2539812,0.2236403,0.1904917,0.1869715,0.241068,0.2940654,0.2604253,0.3605686,0.317861,0.2504395,0.2405301,0.2176896,0.3075232,0.2755271,0.2627265,0.2496791,0.2600761,0.258728
"Aug",0.3586939,0.3320219,0.2729158,0.2253159,0.2510435,0.4307326,0.2888996,0.3263903,0.3190117,0.3517735,0.271022,0.3373564,0.27215,0.3856071,0.4388633,0.3474499,0.3702791,0.3628243,0.4135949,0.3258276,0.4069673,0.3722176,0.4111599,0.3675025,0.3604157,0.3027
"Sep",0.3722788,0.3146933,0.3357334,0.2654181,0.2929084,0.4157228,0.3204284,0.4379593,0.2786951,0.3274134,0.3069922,0.3980314,0.2136325,0.4966245,0.4871606,0.3444722,0.2863637,0.4298421,0.4489171,0.376964,0.4547687,0.3872249,0.4247895,0.3652655,0.4000089,0.4317597
"Oct",0.3011359,0.3121632,0.2842717,0.2467,0.263894,0.3193763,0.2780714,0.285887,0.2676818,0.2766767,0.2504519,0.3053232,0.2376274,0.4023805,0.3522095,0.3153124,0.2763807,0.3789807,0.3385781,0.3147753,0.3554505,0.2943737,0.3322538,0.2829377,0.3079168,0.3434969
"Nov",0.2347073,0.2450254,0.24109,0.1982493,0.2379234,0.23802,0.237291,0.2482229,0.2396877,0.2338713,0.2203898,0.2366022,0.203855,0.277566,0.2749775,0.2658093,0.2758981,0.3164325,0.304262,0.3025726,0.3131014,0.2308839,0.277066,0.2162579,0.2500154,0.2654764
"Dec",0.2131501,0.2093195,0.2119194,0.1883594,0.217714,0.2191075,0.1995103,0.2391489,0.1885914,0.2128265,0.2080682,0.1910131,0.196806,0.2265132,0.2299559,0.2227968,0.2464996,0.2806212,0.2365525,0.2617218,0.2743247,0.2059869,0.2532276,0.195997,0.2240546,0.2126702
"Jan",,0.1708925,0.1974205,0.1901543,0.2086832,0.1981923,0.2054354,0.2019618,0.2118066,0.1775512,0.1791496,0.1782997,0.1858805,0.188162,0.2011329,0.1903,0.193463,0.1908677,0.2322967,0.2096875,0.2302674,0.2273897,0.2052621,0.1934047,0.2047455,0.198503
"Feb",,0.1702817,0.1865386,0.2066695,0.1724879,0.1819033,0.1824113,0.1736733,0.1783597,0.1526362,0.1720884,0.1601378,0.1799102,0.1580402,0.18286,0.1761989,0.1883405,0.1675376,0.2250411,0.1949803,0.2026664,0.2268112,0.1781574,0.1837586,0.1842892,0.1674604
"Mar",,0.1833088,0.1565168,0.1833634,0.1769114,0.1806408,0.1479058,0.1830391,0.1670066,0.162729,0.1589659,0.1615389,0.1594587,0.1501623,0.1761907,0.163811,0.1801121,0.1558127,0.1802839,0.1774486,0.1727001,0.1960226,0.1822181,0.1790514,0.1830066,0.1685514
"Apr",,0.1951402,0.1622053,0.1775109,0.1599097,0.143238,0.1625902,0.1663042,0.1805816,0.1640596,0.15275,0.1534956,0.1422506,0.1541411,0.1634687,0.1859356,0.2042139,0.1582411,0.1561701,0.1325158,0.1839568,0.2359153,0.1485659,0.1629639,0.1783243,0.1709334
"May",,0.1699975,0.1697657,0.1580495,0.1352708,0.1564074,0.1616486,0.1328482,0.1739494,0.155248,0.1426902,0.1503897,0.182341,0.1488982,0.1555876,0.2107449,0.1872488,0.1591197,0.1377152,0.1766558,0.1542676,0.1998306,0.1279499,0.1597888,0.1635451,0.157722
"Jun",,0.147551,0.1862234,0.1764973,0.1717405,0.2112267,0.2276415,0.141228,0.1806293,0.1431921,0.1698792,0.1346946,0.1795427,0.1420193,0.150169,0.3115143,0.2100441,0.171424,0.1237373,0.1627647,0.1902568,0.1592867,0.1350464,0.1398248,0.1692405,0.1437437
