"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",10.42574,12.48465,10.42584,9.294697,10.49879,10.18753,9.234593,8.351918,6.636355,6.315944,13.18957
"Feb",11.82423,13.65595,11.15154,9.549436,12.02577,12.88268,12.64799,10.16671,9.987488,9.311521,12.01565
"Mar",16.35701,21.11802,10.28771,13.18276,12.47999,16.04586,15.37329,10.58337,12.70706,11.80874,9.728732
"Apr",13.64504,21.73663,10.01993,11.09975,13.90704,14.51953,15.9228,14.16308,13.25507,12.63271,17.11188
"May",15.02352,16.07478,16.53707,13.30775,14.67348,16.13856,14.95042,15.99083,13.93182,11.02383,17.76355
"Jun",19.22922,17.36553,24.59846,18.70049,14.00636,21.25951,23.17034,16.97586,13.02514,16.57916,14.69092
"Jul",38.23514,28.4865,31.97097,27.90744,29.13819,33.40355,29.74119,30.64863,22.12528,31.98893,26.69026
"Aug",46.40615,33.40512,34.28258,41.07563,39.04213,43.57103,40.73981,44.00299,32.23138,48.11156,39.56157
"Sep",32.5476,19.28291,21.35195,32.96311,24.18457,26.95949,24.29512,30.55471,20.24801,24.3663,27.35573
"Oct",8.01953,5.728094,5.248162,7.8686,6.293275,6.325831,6.139898,7.364078,5.968801,5.757616,6.940684
"Nov",6.725543,5.347249,6.773908,6.138392,4.678872,4.994885,4.94266,2.981861,5.42508,5.529218,5.931893
"Dec",10.37295,7.366401,7.234625,7.698279,6.282525,6.002999,5.485911,3.423168,5.596027,8.007375,9.117838
