"year","MIXEDET"
1983,29.4475475330573
1984,34.2899867270655
1985,31.0083667186147
1986,24.1484996281609
1987,42.4067921864007
1988,14.3183245506615
1989,27.6883040898777
1990,22.6770323609604
1991,24.4466573080602
1992,44.9433618269638
1993,32.0252882660907
1994,18.8677746340299
1995,20.8052117118074
1996,30.9984954168101
1997,34.6593065107604
1998,32.7913900169279
1999,39.0436729356353
2000,24.10896
2001,23.24845
2002,19.44278
2003,37.81192
2004,32.05277
2005,37.0145
2006,30.08205
2007,48.15128
2008,30.12122
2009,33.62815
2010,46.77187
2011,26.35186
2012,33.54527
2013,35.8479665269353
2014,38.26535
