Time,HainET30Y Evapotranspiration
Jul 1983,17.27426
Jul 1984,15.94372
Jul 1985,21.3754
Jul 1986,16.73674
Jul 1987,30.97924
Jul 1988,19.70573
Jul 1989,20.94044
Jul 1990,15.6276
Jul 1991,28.40037
Jul 1992,24.77205
Jul 1993,17.71542
Jul 1994,19.07253
Jul 1995,20.37671
Jul 1996,20.43022
Jul 1997,19.34804
Jul 1998,16.75321
Jul 1999,21.79893
Jul 2000,26.02091
Jul 2001,25.32652
Jul 2002,23.56967
Jul 2003,22.98754
Jul 2004,24.8318
Jul 2005,21.01094
Jul 2006,22.26544
Jul 2007,21.70734
Jul 2008,19.74276
Jul 2009,14.29163
Jul 2010,18.78369
Jul 2011,15.97031
Jul 2012,28.6782
Jul 2013,14.42507
