"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,13.68,27.3,75,76.97,0,0,76.97
1984,16,57.61,34.67,59.27,0,0,16.89,16.89
1985,16,28.38,28.38,75,0,0,0,0
1986,16,26.61,50,75,0,0,0,0
1987,16,57.35,11.31,45.38,0,0,66.5,66.5
1988,16,51.89,38.5,75,0,0,0,0
1989,16,15.14,30.15,75,67.9,0,0,67.9
1990,16,25,50,75,6.25,0,0,6.25
1991,16,33.96,50,75,0,0,0,0
1992,16,14.85,20.71,65.66,69.71,0,0,69.71
1993,16,25.68,0,50,2.02,0,50,52.02
1994,16,44.38,41.5,75,0,0,0,0
1995,16,27.12,33.1,59.12,0,0,17.44,17.44
1996,16,66.32,41.32,75,0,0,0,0
1997,16,58.67,50,60.75,0,0,11.62,11.62
1998,16,42.35,50,75,0,0,0,0
1999,16,37.77,50,75,0,0,0,0
2000,16,30.91,34.44,75,0,0,0,0
2001,16,50.28,46.89,75,0,0,0,0
2002,16,50,50,75,0,0,0,0
2003,16,25,50,75,6.25,0,0,6.25
2004,16,27.08,22.76,54.68,0,0,33.28,33.28
2005,16,26.31,46.69,75,0,0,0,0
2006,16,11.93,25,75,87.95,0,0,87.95
2007,16,28.49,32.65,75,0,0,0,0
2008,16,55.76,39.15,75,0,0,0,0
2009,16,51.58,22.02,62.73,0,0,4.55,4.55
2010,16,31.08,13.9,63.9,0,0,0.36,0.36
2011,16,60.05,37.6,75,0,0,0,0
2012,16,36.42,50,75,0,0,0,0
2013,16,14.47,39.47,75,72.08,0,0,72.08
2014,16,40.76,50,75,0,0,0,0
2015,16,31.03,25,75,0,0,0,0
2016,16,34.06,39.75,75,0,0,0,0
2017,16,25,50,75,6.25,0,0,6.25
2018,16,51.5,32.51,50,0,0,50,50
2019,16,74.18,45.36,70.36,0,0,0,0
