"","MIXEDET"
"1983",13.3116374824873
"1984",-7.4749997485655
"1985",21.4170548924347
"1986",32.1574387020936
"1987",-8.91011174432256
"1988",20.0974278659142
"1989",37.8273751307343
"1990",-20.7226592602435
"1991",-4.70445587277457
"1992",16.3260142567395
"1993",54.3108984430297
"1994",46.4327579562791
"1995",36.666047013265
"1996",40.8357429309775
"1997",21.0865926186761
"1998",55.5718753794826
"1999",47.7397098032492
"2000",13.1
"2001",6
"2002",3.3
"2003",28.8
"2004",4.3
"2005",38.6
"2006",46.8
"2007",64.7
"2008",54.9
"2009",34.6
"2010",48.3
"2011",13
"2012",18.3
"2013",41.5
"2014",39.3
