"","MIXEDET"
"1983",27.1901502525129
"1984",-3.9719053950458
"1985",17.5730990507382
"1986",6.3527767371358
"1987",28.1070588246803
"1988",10.6442976676477
"1989",12.237474601836
"1990",8.75440175864897
"1991",49.2293540043757
"1992",26.2717047067954
"1993",15.190125410954
"1994",18.3308685507373
"1995",15.9223894579874
"1996",14.7614759497935
"1997",16.4824709275898
"1998",13.1822563970327
"1999",22.2976726639324
"2000",3.1
"2001",7.6
"2002",1.5
"2003",22.6
"2004",2.6
"2005",27.9
"2006",16.9
"2007",47.1
"2008",30.6
"2009",23.6
"2010",39.9
"2011",14.6
"2012",26.3
"2013",2.3
"2014",14
