"","MIXEDET"
"1983",39.4723988055904
"1984",-0.770760712234861
"1985",24.3321215084513
"1986",47.6634503877786
"1987",53.4562755109092
"1988",21.3865030107601
"1989",8.03830625642861
"1990",-12.8362866576709
"1991",36.7140735660159
"1992",39.2038694968423
"1993",12.3634364759726
"1994",25.9446937692019
"1995",21.2535300340282
"1996",23.6868761608705
"1997",27.495928797052
"1998",27.7813197355616
"1999",40.9473899423451
"2000",5.1
"2001",10.8
"2002",1.8
"2003",29.5
"2004",6.8
"2005",29.8
"2006",20.8
"2007",57.5
"2008",44.2
"2009",26.5
"2010",49.3
"2011",15.5
"2012",34.6
"2013",3.6
"2014",17
