"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.92,9.09,21.77,0,0,28.31,28.31
1984,16,0.24,2.53,11.61,100,0,74.52,174.52
1985,16,0.42,20.05,47.97,100,0,0,100
1986,16,21.61,22.21,38.82,0,0,0,0
1987,16,2.5,3.41,7.82,100,0,91.73,191.73
1988,16,3.56,20.08,70.08,100,0,0,100
1989,16,4.13,0,11.44,100,0,75.27,175.27
1990,16,0,10.7,48.55,100,0,0,100
1991,16,0,0,16.9,100,0,50.44,150.44
1992,16,0,0,50,100,0,0,100
1993,16,25.83,32.36,39.8,0,0,0,0
1994,16,0,25,69.53,100,0,0,100
1995,16,0,14.94,64.94,100,0,0,100
1996,16,10.61,5.82,30.82,0,0,0,0
1997,16,7.61,25,50,0,0,0,0
1998,16,24.9,43.69,72.8,0,0,0,0
1999,16,1.59,20.6,69.01,100,0,0,100
2000,16,15.61,19.17,50.18,0,0,0,0
2001,16,7.13,7.13,33.53,0,0,0,0
2002,16,4.25,0,22.48,100,0,25.08,125.08
2003,16,20.36,17.03,25.26,0,0,12.44,12.44
2004,16,2.3,4.63,26.53,100,0,6.7,106.7
2005,16,7.16,25,48.05,0,0,0,0
2006,16,3.75,8.59,33.59,100,0,0,100
2007,16,5.71,27.09,75,0,0,0,0
2008,16,0,6.78,51.71,100,0,0,100
2009,16,0.49,1.96,33.61,100,0,0,100
2010,16,2.2,7.95,46.39,100,0,0,100
2011,16,25,4.5,38.69,0,0,0,0
2012,16,25,36.61,40.29,0,0,0,0
2013,16,6.35,12.03,62.03,0,0,0,0
2014,16,0,0,50,100,0,0,100
2015,16,0,13.66,20.74,100,0,33,133
2016,16,10.57,15.65,55.08,0,0,0,0
2017,16,0,25,43.39,100,0,0,100
2018,16,3.17,28.17,72.18,100,0,0,100
2019,16,0,0,37.17,100,0,0,100
