"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,20.89,29.73,75,45.22,0,0,45.22
1984,16,75,50,75,0,0,0,0
1985,16,21.46,29.43,75,43.22,0,0,43.22
1986,16,42.07,50,75,0,0,0,0
1987,16,50,50,75,0,0,0,0
1988,16,66.47,42.94,75,0,0,0,0
1989,16,69.26,48.77,70.83,0,0,13.04,13.04
1990,16,8.02,23,65.94,89.6,0,28.32,117.91
1991,16,41.33,50,75,0,0,0,0
1992,16,4.85,14.82,64.62,100,0,32.44,132.44
1993,16,35.23,33.52,75,0,0,0,0
1994,16,55.86,50,75,0,0,0,0
1995,16,35.49,50,75,0,0,0,0
1996,16,70.84,45.84,75,0,0,0,0
1997,16,68.04,50,65.61,0,0,29.34,29.34
1998,16,46.34,44.72,75,0,0,0,0
1999,16,33.39,50,75,2.1,0,0,2.1
2000,16,10.45,27.54,75,81.19,0,0,81.19
2001,16,59,50,75,0,0,0,0
2002,16,41.38,50,75,0,0,0,0
2003,16,34.1,50,75,0,0,0,0
2004,16,26.15,27.31,54.16,27.08,0,65.12,92.2
2005,16,40.59,50,75,0,0,0,0
2006,16,52.72,50,75,0,0,0,0
2007,16,55.95,44.7,69.7,0,0,16.55,16.55
2008,16,72.74,50,75,0,0,0,0
2009,16,46.19,34.39,75,0,0,0,0
2010,16,25.49,28.71,75,29.34,0,0,29.34
2011,16,61.96,50,75,0,0,0,0
2012,16,34.98,50,75,0,0,0,0
2013,16,41.95,50,75,0,0,0,0
2014,16,38.08,50,75,0,0,0,0
2015,16,50,50,75,0,0,0,0
2016,16,25,50,75,31.03,0,0,31.03
2017,16,41.39,50,75,0,0,0,0
2018,16,60.56,35.56,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
