"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",5.705238,3.759487,3.672059,3.694872,9.857763,6.652433,5.259363,7.272704,4.542876,10.87741,5.410679
"Feb",6.318261,2.915343,2.952479,2.354949,4.09066,4.718413,4.104335,6.55661,2.95825,4.784802,8.014379
"Mar",8.901125,5.416747,12.07703,7.852885,16.36379,10.04946,10.1775,15.28341,7.167054,8.868458,13.81959
"Apr",23.76418,15.78962,18.83086,27.61577,23.99233,24.09218,18.31042,24.82597,14.26514,20.60968,21.90035
"May",30.53512,39.15962,20.70918,39.94252,32.79219,29.21148,29.66535,48.58946,34.91032,48.48474,50.13248
"Jun",50.35418,53.63723,26.76714,43.0771,48.06074,36.7603,42.19646,50.93084,43.81062,48.79543,48.45677
"Jul",80.53691,69.57379,66.9348,69.69614,71.78208,76.909,77.19514,65.58569,61.90712,77.14301,69.36681
"Aug",68.60741,69.38283,69.60733,78.45133,73.54039,71.93488,76.04694,69.40585,64.64554,76.73001,72.85241
"Sep",47.78552,46.25051,38.44094,56.83337,53.31096,45.97129,50.99387,50.51175,48.38664,49.44873,52.4191
"Oct",23.72455,22.07092,25.04203,27.4155,25.07376,21.97578,33.43748,31.62734,26.67047,32.85125,34.35871
"Nov",8.374537,28.02933,12.03111,12.68765,28.17207,18.17174,20.38155,17.18545,22.9324,17.69362,24.2306
"Dec",4.124202,9.33583,8.030568,10.31581,13.4807,9.223382,11.86361,10.21156,19.22625,8.989104,12.38727
