"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",24.65359,24.10867,24.05609,24.99113,25.0248,23.92779,25.34079,30.10477,26.28785,27.28682,30.60461,27.62529,23.27178,30.32914,26.09063,26.81124,30.45731,28.54047,30.01128,26.45778,25.1426,27.59509,26.09211,24.67942,26.11036,22.47849,24.55668,25.75933,22.19296,23.69521,23.14744
"Feb",25.02186,21.74421,21.39493,23.3613,25.69055,21.69144,23.53999,26.30899,23.26442,24.24296,27.28723,26.53104,21.39397,27.2943,24.58735,23.74552,24.96549,25.48778,26.95159,27.33972,23.41861,24.83152,24.09112,22.69998,24.21504,22.86095,22.17125,24.14676,18.86184,22.07625,22.557
"Mar",32.07881,29.52386,26.72392,31.09392,28.34513,25.87235,25.83105,32.34697,33.06606,30.12208,35.41802,34.39771,29.43797,37.0464,30.15433,29.05382,29.3109,34.99028,37.41636,35.62658,30.00087,31.75366,33.42198,32.27256,31.74982,31.29171,30.38798,30.65952,24.44474,26.17531,25.51751
"Apr",32.38192,31.40368,25.08177,30.98386,29.3082,26.73405,28.22982,32.3182,28.57486,31.90717,36.98017,34.93752,34.83316,38.33522,32.20595,34.36555,34.06028,39.70981,38.38371,35.62311,35.98064,32.62106,34.37776,35.90033,34.02582,30.6096,31.39254,33.65576,30.83012,29.27637,28.4377
"May",33.13075,31.56615,32.88724,31.93628,36.46851,32.58041,35.20711,33.73483,34.84716,35.70588,47.11544,38.46117,38.76645,43.05113,40.30735,34.64658,37.92831,43.01365,46.06324,35.51345,36.53946,36.55588,36.54853,41.45248,38.43696,38.78538,34.02032,41.87011,34.58572,34.89811,30.28946
"Jun",38.58525,48.41507,39.3413,34.01825,42.90588,38.20309,36.78235,39.4612,39.32809,40.19011,46.17902,46.32525,41.95919,42.78767,46.01784,37.98939,38.20969,46.93412,48.04155,40.91445,37.83469,38.71233,39.98372,44.2649,39.44749,47.28265,33.85383,41.92909,43.15593,37.64246,37.79912
"Jul",45.03967,53.03619,49.02411,49.9137,55.45447,40.02462,46.06705,41.75589,42.23808,57.26603,49.65369,38.58143,45.50412,48.1885,59.22171,43.53285,52.93402,56.01894,53.18008,54.46206,47.27275,51.69675,49.89743,52.76688,54.96758,56.57497,51.08316,52.2182,48.80456,37.21569,38.86789
"Aug",52.1487,67.28574,60.52046,59.47527,61.82492,55.95231,66.31002,61.77641,53.05142,47.06321,60.23368,50.71019,59.22116,54.16587,64.23547,49.41061,57.94494,60.38833,58.21098,57.24369,54.66285,58.88034,64.90232,59.34996,64.11583,64.78849,67.40295,52.68931,40.07619,48.3459,39.12946
"Sep",68.96529,61.8959,64.93016,66.49522,63.24371,63.26225,64.38502,59.65862,62.12642,63.12156,64.99481,67.37222,66.09138,69.79391,61.59696,68.77028,68.13673,67.58598,59.4497,59.01109,58.68148,55.5276,58.59669,65.64021,63.45332,55.8466,64.79015,64.91992,58.1441,57.95198,55.44308
"Oct",56.62768,57.57363,56.56644,58.92139,54.52738,57.71807,58.77654,56.16631,54.45148,57.22158,55.28343,56.43785,54.60452,55.47886,52.89404,62.31355,58.03563,56.66249,56.00123,58.90413,61.04206,56.67338,58.10492,58.55108,57.85143,53.11131,56.97392,57.99955,53.00726,54.44147,52.90685
"Nov",40.57093,37.45839,42.83382,39.22723,40.16005,39.69067,44.07474,40.65458,38.21037,45.47954,42.89431,39.11735,39.55031,37.40554,44.53038,44.31389,43.95825,47.18872,41.44481,39.89568,42.382,41.1433,42.22581,42.24387,39.62529,40.40672,41.28355,39.11461,35.942,36.61373,40.3112
"Dec",33.10705,28.30348,30.86052,30.61649,31.21496,29.14799,29.32883,31.2054,30.06307,36.07723,32.58268,31.4872,31.93036,31.6602,34.44198,33.44323,33.88325,35.99142,32.06789,29.8014,31.67825,30.93081,32.45412,32.92144,29.39023,29.8036,30.19565,29.85303,30.04371,27.50831,31.24463
