"year","crop","value"
"1983","Barley",89.53245
"1983","Maize",92.63886
"1983","Sorghum",95.71854
"1983","Teff",99.53281
"1983","Wheat",96.42652
"1984","Barley",96.29597
"1984","Maize",92.27637
"1984","Sorghum",92.29807
"1984","Teff",97.51844
"1984","Wheat",98.59731
"1985","Barley",95.59985
"1985","Maize",93.50474
"1985","Sorghum",94.57676
"1985","Teff",97.73501
"1985","Wheat",97.7567
"1986","Barley",99.77003
"1986","Maize",99.13753
"1986","Sorghum",97.79323
"1986","Teff",99.63348
"1986","Wheat",99.70531
"1987","Barley",89.16191
"1987","Maize",98.33195
"1987","Sorghum",97.73495
"1987","Teff",98.93592
"1987","Wheat",97.102
"1988","Barley",94.259
"1988","Maize",90.86179
"1988","Sorghum",89.09377
"1988","Teff",94.10795
"1988","Wheat",95.32465
"1989","Barley",95.87928
"1989","Maize",84.2201
"1989","Sorghum",85.33558
"1989","Teff",99.72691
"1989","Wheat",99.48256
"1990","Barley",98.93579
"1990","Maize",75.36745
"1990","Sorghum",78.51266
"1990","Teff",99.07219
"1990","Wheat",99.02203
"1991","Barley",99.69816
"1991","Maize",97.35416
"1991","Sorghum",97.9149
"1991","Teff",100
"1991","Wheat",99.79877
"1992","Barley",92.42673
"1992","Maize",87.1265
"1992","Sorghum",88.3288
"1992","Teff",99.51127
"1992","Wheat",95.49093
"1993","Barley",98.87666
"1993","Maize",98.93613
"1993","Sorghum",98.73466
"1993","Teff",99.00603
"1993","Wheat",98.93416
"1994","Barley",97.66892
"1994","Maize",97.88453
"1994","Sorghum",98.52448
"1994","Teff",97.65455
"1994","Wheat",97.87745
"1995","Barley",95.2761
"1995","Maize",93.19711
"1995","Sorghum",85.4847
"1995","Teff",95.44935
"1995","Wheat",99.2092
"1996","Barley",92.1253
"1996","Maize",98.64104
"1996","Sorghum",98.00102
"1996","Teff",95.17963
"1996","Wheat",96.33161
"1997","Barley",100
"1997","Maize",100
"1997","Sorghum",100
"1997","Teff",99.84903
"1997","Wheat",100
"1998","Barley",96.76285
"1998","Maize",99.30978
"1998","Sorghum",99.26665
"1998","Teff",95.812
"1998","Wheat",96.97863
"1999","Barley",99.90649
"1999","Maize",98.79695
"1999","Sorghum",99.15066
"1999","Teff",99.93523
"1999","Wheat",99.32272
"2000","Barley",99.91376
"2000","Maize",94.26038
"2000","Sorghum",93.78625
"2000","Teff",99.95688
"2000","Wheat",99.92813
"2001","Barley",97.74986
"2001","Maize",88.03837
"2001","Sorghum",85.44021
"2001","Teff",98.90726
"2001","Wheat",99.26688
"2002","Barley",94.85795
"2002","Maize",77.08395
"2002","Sorghum",74.13379
"2002","Teff",98.70541
"2002","Wheat",98.58344
"2003","Barley",98.95046
"2003","Maize",75.16962
"2003","Sorghum",69.49793
"2003","Teff",99.52546
"2003","Wheat",99.55442
"2004","Barley",87.53773
"2004","Maize",72.39029
"2004","Sorghum",75.36929
"2004","Teff",95.14554
"2004","Wheat",95.99447
"2005","Barley",97.12436
"2005","Maize",87.06727
"2005","Sorghum",87.10444
"2005","Teff",99.13735
"2005","Wheat",99.00803
"2006","Barley",97.48209
"2006","Maize",95.51115
"2006","Sorghum",95.64863
"2006","Teff",99.13572
"2006","Wheat",99.04948
"2007","Barley",99.50394
"2007","Maize",99.71962
"2007","Sorghum",99.88497
"2007","Teff",99.22366
"2007","Wheat",99.88501
"2008","Barley",98.4393
"2008","Maize",99.6477
"2008","Sorghum",99.87064
"2008","Teff",99.49693
"2008","Wheat",99.75565
"2009","Barley",99.46819
"2009","Maize",93.77739
"2009","Sorghum",85.48828
"2009","Teff",99.79877
"2009","Wheat",99.43944
"2010","Barley",95.81429
"2010","Maize",94.80718
"2010","Sorghum",94.83716
"2010","Teff",95.26799
"2010","Wheat",96.06583
"2011","Barley",94.68563
"2011","Maize",86.97656
"2011","Sorghum",85.45854
"2011","Teff",99.2017
"2011","Wheat",99.15166
"2012","Barley",99.28843
"2012","Maize",86.55152
"2012","Sorghum",86.45911
"2012","Teff",99.73409
"2012","Wheat",99.72691
"2013","Barley",95.96435
"2013","Maize",97.2163
"2013","Sorghum",97.98627
"2013","Teff",96.26655
"2013","Wheat",96.51101
"2014","Barley",100
"2014","Maize",100
"2014","Sorghum",100
"2014","Teff",100
"2014","Wheat",99.72691
"2015","Barley",99.20926
"2015","Maize",98.46144
"2015","Sorghum",98.0514
"2015","Teff",99.95688
"2015","Wheat",99.70529
"2016","Barley",98.8705
"2016","Maize",98.99284
"2016","Sorghum",99.93523
"2016","Teff",96.79076
"2016","Wheat",99.89938
"2017","Barley",93.68532
"2017","Maize",96.69784
"2017","Sorghum",95.87082
"2017","Teff",94.09501
"2017","Wheat",93.98016
"2018","Barley",99.88493
"2018","Maize",99.89931
"2018","Sorghum",99.28797
"2018","Teff",100
"2018","Wheat",100
