"year","MIXEDET"
1983,56.599471730564
1984,67.6620736523129
1985,62.1116537298703
1986,63.3423365823572
1987,71.0075875727841
1988,49.6615159988623
1989,58.0207769936492
1990,52.056601714782
1991,52.7236763948489
1992,73.513748645021
1993,62.9826317200329
1994,47.6649679420265
1995,57.2420044151013
1996,60.9556482685156
1997,76.2192892209623
1998,54.5148962117471
1999,67.5207289125579
2000,60.66588
2001,52.04907
2002,45.4831
2003,63.40829
2004,60.72104
2005,71.0303
2006,58.72583
2007,78.11715
2008,60.74208
2009,58.36141
2010,69.37482
2011,66.43526
2012,63.91275
2013,48.0612644493202
2014,68.84386
