"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3171934,0.249615,0.2992481,0.5155399,0.3894286,0.4972652,0.4202891,0.3743059,0.3867194,0.3892257,0.3704011,0.3057985,0.3094629,0.3731109,0.4272274,0.4812947,0.4915997,0.3852153,0.3694243,0.3711294,0.4893964,0.3648812,0.3204495,0.3553523,0.3168247,0.3900433
"Aug",0.4896439,0.4769602,0.426248,0.5095558,0.5870916,0.5644349,0.4991729,0.5360866,0.5297313,0.5530756,0.5235034,0.476163,0.4547168,0.5145344,0.5751693,0.458501,0.5641315,0.4867701,0.5541068,0.4936052,0.5348881,0.5622727,0.5557833,0.5429103,0.5277702,0.4844983
"Sep",0.6153929,0.5573239,0.5877447,0.5401023,0.6384248,0.6258482,0.5874444,0.598011,0.5933,0.6491597,0.5855415,0.5650552,0.4955214,0.6596171,0.6214171,0.479613,0.5228605,0.5530774,0.5918359,0.5607462,0.6189875,0.5950649,0.6068552,0.6110911,0.6209272,0.6101087
"Oct",0.6413062,0.6369196,0.6145667,0.4993707,0.621319,0.5693331,0.5149633,0.5977914,0.6037486,0.6564593,0.5860243,0.609853,0.5066238,0.6321906,0.5165036,0.439863,0.4872797,0.5371601,0.556177,0.5622166,0.5658187,0.5722683,0.6100565,0.6049915,0.6060799,0.5702842
"Nov",0.4787243,0.5304208,0.5527632,0.3145687,0.4900482,0.4582217,0.4514361,0.5107917,0.5180271,0.4750082,0.4708256,0.5323423,0.4590083,0.4598042,0.3944753,0.3309811,0.4525916,0.5415629,0.5421971,0.5767285,0.4695822,0.4316148,0.4913633,0.4644997,0.4913541,0.4531581
"Dec",0.3495964,0.4280754,0.4143337,0.2420117,0.3680715,0.3546561,0.3462038,0.4249832,0.3909938,0.3943378,0.3866082,0.3928254,0.4022588,0.3870496,0.2932905,0.2808762,0.4156613,0.4478203,0.4036339,0.4661812,0.4011213,0.3474022,0.4010498,0.3608325,0.3933339,0.3689952
"Jan",,0.2576025,0.3156666,0.3036111,0.2519231,0.2902662,0.2783229,0.3327158,0.3403897,0.3669572,0.3110335,0.2942759,0.3381435,0.3277277,0.3269798,0.2448169,0.2331239,0.3273437,0.3385198,0.3447427,0.3915129,0.2962612,0.2991921,0.312839,0.3104589,0.3195627
"Feb",,0.2225644,0.2430624,0.2918076,0.2268721,0.2433324,0.2193207,0.228708,0.2661852,0.2249718,0.2820239,0.2548583,0.2162187,0.2603643,0.2665533,0.2259706,0.2343687,0.2373586,0.3113099,0.2980221,0.3200986,0.2996196,0.2534957,0.2773486,0.2662257,0.2425883
"Mar",,0.2451824,0.1917434,0.2194298,0.2212751,0.2346255,0.1911027,0.2695419,0.2218297,0.2491887,0.2614969,0.2577861,0.1838318,0.1918928,0.2656938,0.1575111,0.1871513,0.2542854,0.2432062,0.2488717,0.2649919,0.2615994,0.2785886,0.2431429,0.2657689,0.2382319
"Apr",,0.2758969,0.2105901,0.201755,0.195551,0.2266529,0.226503,0.2345843,0.2487325,0.2285451,0.2534899,0.2483461,0.2338809,0.24149,0.2400978,0.2508581,0.2499655,0.2376888,0.2304779,0.2175816,0.3565922,0.3217229,0.2926371,0.2260718,0.2709852,0.2409487
"May",,0.2782544,0.2676145,0.2023866,0.2315322,0.214343,0.2283472,0.2028397,0.2787822,0.2583701,0.2276854,0.3223147,0.3928263,0.2748899,0.3121985,0.3385468,0.2419978,0.2456757,0.1935849,0.3968395,0.2923062,0.2730944,0.228359,0.2481855,0.2715244,0.2975585
"Jun",,0.2044476,0.3633391,0.371682,0.2884051,0.2219174,0.4027898,0.2384402,0.2771542,0.2396696,0.2626633,0.2914492,0.3978766,0.2106102,0.3021657,0.4829267,0.3807547,0.2990628,0.2438611,0.245967,0.3008516,0.2276677,0.1928869,0.2197801,0.2345462,0.2764505
