"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,30.99,28.83,75,0,0,0,0
1984,16,6.55,5.96,47.75,89.69,0,60.15,149.84
1985,16,15.7,38.32,75,28.7,0,0,28.7
1986,16,35.81,50,75,0,0,0,0
1987,16,60.85,35.85,60.83,0,0,19.28,19.28
1988,16,33.84,25,75,0,0,0,0
1989,16,20.08,42.53,63.64,0,0,10.51,10.51
1990,16,6.58,6.58,44.27,89.49,0,71.02,160.51
1991,16,49.26,38.28,75,0,0,0,0
1992,16,6.32,15.8,59.48,91.22,0,23.49,114.71
1993,16,40.97,32.85,74.05,0,0,0,0
1994,16,49.13,45.18,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,57.43,32.93,69.94,0,0,0,0
1997,16,46.65,43.78,75,0,0,0,0
1998,16,30.99,50,75,0,0,0,0
1999,16,23,48,75,0,0,0,0
2000,16,27.34,45.76,70.76,0,0,0,0
2001,16,11.19,25.02,66.7,58.74,0,0.94,59.68
2002,16,29.33,16.55,61.6,0,0,16.88,16.88
2003,16,28.62,43.75,73.94,0,0,0,0
2004,16,25,42.85,67.85,0,0,0,0
2005,16,17.75,37.04,75,14.97,0,0,14.97
2006,16,41.15,50,75,0,0,0,0
2007,16,25.12,25,75,0,0,0,0
2008,16,19.98,25,75,0.13,0,0,0.13
2009,16,42.73,50,75,0,0,0,0
2010,16,61.4,50,75,0,0,0,0
2011,16,29.32,50,75,0,0,0,0
2012,16,23.16,48.16,75,0,0,0,0
2013,16,3.09,11.92,58.83,100,0,25.53,125.53
2014,16,7.27,32.27,75,84.84,0,0,84.84
2015,16,25.32,15.35,62.58,0,0,13.82,13.82
2016,16,50,50,75,0,0,0,0
2017,16,36.09,50,75,0,0,0,0
2018,16,53.37,49.41,75,0,0,0,0
2019,16,54.97,50,75,0,0,0,0
