"time","crop","value"
"1983","Barley",44
"1984","Barley",57
"1985","Barley",94
"1986","Barley",97
"1987","Barley",100
"1988","Barley",100
"1989","Barley",87
"1990","Barley",68
"1991","Barley",75
"1992","Barley",81
"1993","Barley",85
"1994","Barley",93
"1995","Barley",85
"1996","Barley",89
"1997","Barley",87
"1998","Barley",97
"1999","Barley",96
"2000","Barley",86
"2001","Barley",72
"2002","Barley",61
"2003","Barley",100
"2004","Barley",50
"2005","Barley",74
"2006","Barley",100
"2007","Barley",92
"2008","Barley",83
"2009","Barley",76
"2010","Barley",79
"2011","Barley",98
"2012","Barley",100
"2013","Barley",93
"2014","Barley",100
"2015","Barley",95
"2016","Barley",99
"2017","Barley",93
"2018","Barley",100
"1983","Maize",46
"1984","Maize",37
"1985","Maize",52
"1986","Maize",61
"1987","Maize",78
"1988","Maize",56
"1989","Maize",57
"1990","Maize",44
"1991","Maize",52
"1992","Maize",56
"1993","Maize",92
"1994","Maize",83
"1995","Maize",73
"1996","Maize",84
"1997","Maize",72
"1998","Maize",77
"1999","Maize",50
"2000","Maize",58
"2001","Maize",45
"2002","Maize",40
"2003","Maize",58
"2004","Maize",33
"2005","Maize",49
"2006","Maize",60
"2007","Maize",53
"2008","Maize",58
"2009","Maize",47
"2010","Maize",73
"2011","Maize",68
"2012","Maize",71
"2013","Maize",54
"2014","Maize",97
"2015","Maize",74
"2016","Maize",57
"2017","Maize",78
"2018","Maize",86
"1983","Sorghum",48
"1984","Sorghum",39
"1985","Sorghum",53
"1986","Sorghum",62
"1987","Sorghum",81
"1988","Sorghum",58
"1989","Sorghum",60
"1990","Sorghum",51
"1991","Sorghum",54
"1992","Sorghum",59
"1993","Sorghum",92
"1994","Sorghum",83
"1995","Sorghum",74
"1996","Sorghum",88
"1997","Sorghum",75
"1998","Sorghum",79
"1999","Sorghum",51
"2000","Sorghum",59
"2001","Sorghum",54
"2002","Sorghum",42
"2003","Sorghum",59
"2004","Sorghum",34
"2005","Sorghum",51
"2006","Sorghum",61
"2007","Sorghum",53
"2008","Sorghum",61
"2009","Sorghum",49
"2010","Sorghum",74
"2011","Sorghum",71
"2012","Sorghum",74
"2013","Sorghum",57
"2014","Sorghum",97
"2015","Sorghum",75
"2016","Sorghum",60
"2017","Sorghum",81
"2018","Sorghum",86
"1983","Teff",35
"1984","Teff",43
"1985","Teff",65
"1986","Teff",76
"1987","Teff",77
"1988","Teff",70
"1989","Teff",66
"1990","Teff",52
"1991","Teff",59
"1992","Teff",59
"1993","Teff",58
"1994","Teff",64
"1995","Teff",58
"1996","Teff",61
"1997","Teff",71
"1998","Teff",72
"1999","Teff",66
"2000","Teff",70
"2001","Teff",55
"2002","Teff",47
"2003","Teff",73
"2004","Teff",38
"2005","Teff",56
"2006","Teff",75
"2007","Teff",64
"2008","Teff",69
"2009","Teff",58
"2010","Teff",57
"2011","Teff",73
"2012","Teff",74
"2013","Teff",66
"2014","Teff",74
"2015","Teff",94
"2016","Teff",71
"2017","Teff",64
"2018","Teff",72
"1983","Wheat",35
"1984","Wheat",43
"1985","Wheat",64
"1986","Wheat",75
"1987","Wheat",76
"1988","Wheat",69
"1989","Wheat",65
"1990","Wheat",51
"1991","Wheat",58
"1992","Wheat",58
"1993","Wheat",58
"1994","Wheat",63
"1995","Wheat",57
"1996","Wheat",60
"1997","Wheat",71
"1998","Wheat",71
"1999","Wheat",65
"2000","Wheat",69
"2001","Wheat",54
"2002","Wheat",47
"2003","Wheat",72
"2004","Wheat",38
"2005","Wheat",55
"2006","Wheat",74
"2007","Wheat",63
"2008","Wheat",68
"2009","Wheat",57
"2010","Wheat",56
"2011","Wheat",72
"2012","Wheat",73
"2013","Wheat",65
"2014","Wheat",73
"2015","Wheat",93
"2016","Wheat",70
"2017","Wheat",63
"2018","Wheat",71
