"time","crop","value"
"1983","Barley",57
"1984","Barley",16
"1985","Barley",49
"1986","Barley",89
"1987","Barley",54
"1988","Barley",80
"1989","Barley",54
"1990","Barley",29
"1991","Barley",54
"1992","Barley",35
"1993","Barley",43
"1994","Barley",77
"1995","Barley",55
"1996","Barley",75
"1997","Barley",79
"1998","Barley",89
"1999","Barley",80
"2000","Barley",67
"2001","Barley",57
"2002","Barley",41
"2003","Barley",64
"2004","Barley",29
"2005","Barley",46
"2006","Barley",57
"2007","Barley",65
"2008","Barley",43
"2009","Barley",51
"2010","Barley",78
"2011","Barley",62
"2012","Barley",51
"2013","Barley",60
"2014","Barley",67
"2015","Barley",74
"2016","Barley",62
"2017","Barley",62
"2018","Barley",80
"1983","Maize",48
"1985","Maize",39
"1986","Maize",82
"1987","Maize",50
"1988","Maize",78
"1990","Maize",26
"1991","Maize",40
"1992","Maize",32
"1993","Maize",42
"1994","Maize",67
"1995","Maize",72
"1996","Maize",58
"1997","Maize",71
"1998","Maize",70
"1999","Maize",56
"2000","Maize",50
"2002","Maize",36
"2003","Maize",48
"2005","Maize",42
"2006","Maize",58
"2007","Maize",71
"2008","Maize",40
"2010","Maize",80
"2011","Maize",58
"2012","Maize",41
"2013","Maize",50
"2014","Maize",69
"2015","Maize",58
"2016","Maize",73
"2017","Maize",58
"2018","Maize",60
"1983","Sorghum",49
"1985","Sorghum",41
"1986","Sorghum",85
"1987","Sorghum",52
"1988","Sorghum",78
"1990","Sorghum",28
"1991","Sorghum",42
"1992","Sorghum",33
"1993","Sorghum",44
"1994","Sorghum",69
"1995","Sorghum",72
"1996","Sorghum",60
"1997","Sorghum",74
"1998","Sorghum",73
"1999","Sorghum",58
"2000","Sorghum",52
"2002","Sorghum",37
"2003","Sorghum",50
"2005","Sorghum",44
"2006","Sorghum",60
"2007","Sorghum",73
"2008","Sorghum",42
"2010","Sorghum",81
"2011","Sorghum",60
"2012","Sorghum",43
"2013","Sorghum",51
"2014","Sorghum",71
"2015","Sorghum",60
"2016","Sorghum",76
"2017","Sorghum",60
"2018","Sorghum",62
"1983","Teff",38
"1984","Teff",16
"1985","Teff",50
"1986","Teff",76
"1987","Teff",34
"1988","Teff",80
"1989","Teff",55
"1990","Teff",29
"1991","Teff",54
"1992","Teff",36
"1993","Teff",40
"1994","Teff",64
"1995","Teff",55
"1996","Teff",64
"1997","Teff",60
"1998","Teff",77
"1999","Teff",80
"2000","Teff",55
"2001","Teff",57
"2002","Teff",41
"2003","Teff",49
"2004","Teff",29
"2005","Teff",46
"2006","Teff",51
"2007","Teff",66
"2008","Teff",43
"2009","Teff",51
"2010","Teff",78
"2011","Teff",53
"2012","Teff",50
"2013","Teff",61
"2014","Teff",67
"2015","Teff",66
"2016","Teff",63
"2017","Teff",63
"2018","Teff",81
"1983","Wheat",57
"1984","Wheat",16
"1985","Wheat",49
"1986","Wheat",89
"1987","Wheat",54
"1988","Wheat",80
"1989","Wheat",54
"1990","Wheat",29
"1991","Wheat",54
"1992","Wheat",35
"1993","Wheat",43
"1994","Wheat",77
"1995","Wheat",54
"1996","Wheat",75
"1997","Wheat",79
"1998","Wheat",89
"1999","Wheat",80
"2000","Wheat",67
"2001","Wheat",57
"2002","Wheat",41
"2003","Wheat",64
"2004","Wheat",29
"2005","Wheat",46
"2006","Wheat",58
"2007","Wheat",65
"2008","Wheat",43
"2009","Wheat",51
"2010","Wheat",78
"2011","Wheat",62
"2012","Wheat",51
"2013","Wheat",60
"2014","Wheat",66
"2015","Wheat",74
"2016","Wheat",62
"2017","Wheat",63
"2018","Wheat",80
