"time","crop","value"
"1983","Barley",38
"1985","Barley",77
"1986","Barley",100
"1987","Barley",32
"1988","Barley",77
"1989","Barley",79
"1990","Barley",48
"1991","Barley",81
"1992","Barley",95
"1993","Barley",70
"1994","Barley",74
"1995","Barley",63
"1996","Barley",85
"1997","Barley",41
"1998","Barley",96
"1999","Barley",94
"2000","Barley",79
"2001","Barley",89
"2002","Barley",63
"2003","Barley",71
"2004","Barley",53
"2005","Barley",58
"2006","Barley",94
"2007","Barley",93
"2008","Barley",88
"2009","Barley",79
"2010","Barley",76
"2011","Barley",73
"2012","Barley",58
"2013","Barley",72
"2014","Barley",76
"2015","Barley",52
"2016","Barley",64
"2017","Barley",100
"2018","Barley",100
"1983","Maize",31
"1984","Maize",14
"1985","Maize",51
"1986","Maize",70
"1987","Maize",45
"1989","Maize",52
"1990","Maize",34
"1991","Maize",59
"1992","Maize",68
"1993","Maize",62
"1994","Maize",69
"1995","Maize",66
"1996","Maize",83
"1997","Maize",39
"1998","Maize",81
"1999","Maize",52
"2000","Maize",51
"2001","Maize",59
"2002","Maize",53
"2003","Maize",47
"2004","Maize",36
"2005","Maize",50
"2006","Maize",97
"2007","Maize",77
"2008","Maize",75
"2009","Maize",46
"2010","Maize",73
"2011","Maize",59
"2012","Maize",54
"2013","Maize",54
"2014","Maize",67
"2015","Maize",52
"2016","Maize",65
"2017","Maize",74
"2018","Maize",62
"1983","Sorghum",33
"1984","Sorghum",13
"1985","Sorghum",50
"1986","Sorghum",68
"1987","Sorghum",44
"1989","Sorghum",51
"1990","Sorghum",34
"1991","Sorghum",63
"1992","Sorghum",66
"1993","Sorghum",65
"1994","Sorghum",63
"1995","Sorghum",61
"1996","Sorghum",80
"1997","Sorghum",39
"1998","Sorghum",84
"1999","Sorghum",49
"2000","Sorghum",57
"2001","Sorghum",57
"2002","Sorghum",51
"2003","Sorghum",53
"2004","Sorghum",35
"2005","Sorghum",48
"2006","Sorghum",94
"2007","Sorghum",82
"2008","Sorghum",74
"2009","Sorghum",43
"2010","Sorghum",72
"2011","Sorghum",57
"2012","Sorghum",54
"2013","Sorghum",59
"2014","Sorghum",72
"2015","Sorghum",50
"2016","Sorghum",62
"2017","Sorghum",72
"2018","Sorghum",57
"1983","Teff",38
"1985","Teff",78
"1986","Teff",85
"1987","Teff",32
"1988","Teff",78
"1989","Teff",79
"1990","Teff",49
"1991","Teff",80
"1992","Teff",95
"1993","Teff",71
"1994","Teff",74
"1995","Teff",63
"1996","Teff",85
"1997","Teff",40
"1998","Teff",97
"1999","Teff",95
"2000","Teff",80
"2001","Teff",73
"2002","Teff",64
"2003","Teff",72
"2004","Teff",54
"2005","Teff",59
"2006","Teff",94
"2007","Teff",93
"2008","Teff",89
"2009","Teff",80
"2010","Teff",76
"2011","Teff",73
"2012","Teff",58
"2013","Teff",73
"2014","Teff",77
"2015","Teff",52
"2016","Teff",64
"2017","Teff",100
"2018","Teff",97
"1983","Wheat",38
"1985","Wheat",77
"1986","Wheat",100
"1987","Wheat",32
"1988","Wheat",77
"1989","Wheat",79
"1990","Wheat",48
"1991","Wheat",80
"1992","Wheat",95
"1993","Wheat",70
"1994","Wheat",73
"1995","Wheat",63
"1996","Wheat",84
"1997","Wheat",40
"1998","Wheat",96
"1999","Wheat",94
"2000","Wheat",79
"2001","Wheat",89
"2002","Wheat",63
"2003","Wheat",71
"2004","Wheat",53
"2005","Wheat",58
"2006","Wheat",93
"2007","Wheat",93
"2008","Wheat",88
"2009","Wheat",79
"2010","Wheat",75
"2011","Wheat",73
"2012","Wheat",58
"2013","Wheat",72
"2014","Wheat",76
"2015","Wheat",52
"2016","Wheat",64
"2017","Wheat",100
"2018","Wheat",100
