"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,36.85,4.2,49.59,0,0,27.66,27.66
1984,16,38,31.51,56.51,0,0,7.31,7.31
1985,16,7.11,32.11,75,0,0,0,0
1986,16,25,50,59.85,0,0,0,0
1987,16,26.6,7.59,31.16,0,0,81.9,81.9
1988,16,32.37,38.04,75,0,0,0,0
1989,16,18.03,25,61.77,0,0,0,0
1990,16,10.86,16.55,55.69,0,0,9.74,9.74
1991,16,33.47,50,75,0,0,0,0
1992,16,0,2.64,52.64,100,0,18.71,118.71
1993,16,10.34,0,50,0,0,26.47,26.47
1994,16,33.17,44.39,75,0,0,0,0
1995,16,5.54,7.99,57.99,46.32,0,2.96,49.27
1996,16,47.89,25,75,0,0,0,0
1997,16,55.76,46.95,75,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,25,50,75,0,0,0,0
2000,16,20.82,27.3,75,0,0,0,0
2001,16,23,48,75,0,0,0,0
2002,16,24.12,35.67,61.54,0,0,0,0
2003,16,5.63,30.63,75,37.11,0,0,37.11
2004,16,17.71,22.19,54.48,0,0,13.3,13.3
2005,16,24.52,39.13,75,0,0,0,0
2006,16,0,0,50,100,0,26.47,126.47
2007,16,25,50,75,0,0,0,0
2008,16,38.43,36.82,75,0,0,0,0
2009,16,20.24,15.06,65.06,0,0,0,0
2010,16,4.11,18.56,64.45,100,0,0,100
2011,16,4.72,29.72,75,100,0,0,100
2012,16,6.42,31.42,75,0,0,0,0
2013,16,12.84,31.39,68.56,0,0,0,0
2014,16,0,25,70.52,100,0,0,100
2015,16,25,25,62,0,0,0,0
2016,16,18.58,37.04,75,0,0,0,0
2017,16,6.42,31.42,75,0,0,0,0
2018,16,40.1,25,65.94,0,0,0,0
2019,16,34.76,37.43,62.43,0,0,0,0
