"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"24-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Feb",0,0,0.0801543142857143,0.0801543142857143,0,0,0,0.0801543142857143,0,0,0,2.805401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Feb",0,0,0,0,0,0,0,0.0613305945945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.269232,0,0,0,0,0,0,0,0,0,0,0
"29-Feb",0.2024523,2.024523,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0,0.2024523,0.2024523,0.2024523,0
"1-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Mar",0,0,0,0,2.952666,0,0,0.0798017837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Mar",7.934151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Mar",0,0,6.602689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.268625,0,0,0,0,0,0
"5-Mar",0,0,0.4951074,0,0.4951074,0,0,0,0,0,0,0,0,1.697288,0,0.4951074,0,0,0,3.777711,0,0,0,0,0,0,0,0,0,0,0,11.85376,0,0,0,0,0,0
"6-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.033416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Mar",0,0,0,0,0.57268254054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.361714,0,0,0,0,0,0,0,0,16.82754,0,0,0,0,0,0
"12-Mar",0,0,0,0,0,0,0,0,7.037165,0,0,0,14.04466,0,0,0,0,0,0,0,0,0,13.44161,0,0,0,0,0,0,0,0,5.75546,0,0,0,0,0,0
"13-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Mar",0,0,0,0,0.147527405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.458514,0,0,0,0,0,0,0,0,0
"15-Mar",0,0,0.204228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.556436,0,0,0,0,0,0,0,0,0
"16-Mar",0,0,0.426852486486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.963039,0,0,0,5.830503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801621891891892,0,0,0,0,29.66001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Mar",0,0,0,5.608593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Mar",0,0,0,0,0,0,0,0,0,0,0,0,4.304514,0,0,0,0,0,0,0,0,6.271091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
