"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,34.71,29.59,75,0,0,0,0
1984,16,28.09,28.09,75,0,0,0,0
1985,16,25,50,75,13.04,0,0,13.04
1986,16,56,50,75,0,0,0,0
1987,16,73.45,48.45,75,0,0,0,0
1988,16,50,25,75,0,0,0,0
1989,16,65.1,40.1,75,0,0,0,0
1990,16,11.3,13.22,51.92,72.62,0,69.93,142.55
1991,16,62.91,50,75,0,0,0,0
1992,16,2.38,25,75,100,0,0,100
1993,16,68.36,50,75,0,0,0,0
1994,16,50,50,75,0,0,0,0
1995,16,29.59,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,75,50,75,0,0,0,0
1999,16,29,50,75,0,0,0,0
2000,16,27.8,43.61,68.61,0.87,0,19.37,20.24
2001,16,35.95,50,75,0,0,0,0
2002,16,29.85,12.8,57.95,0,0,51.65,51.65
2003,16,50,50,75,0,0,0,0
2004,16,28.03,32.03,57.03,0,0,54.47,54.47
2005,16,47.57,50,75,0,0,0,0
2006,16,30.32,42.22,67.22,0,0,23.57,23.57
2007,16,28.71,34.63,75,0,0,0,0
2008,16,36.75,41.68,75,0,0,0,0
2009,16,61.14,50,75,0,0,0,0
2010,16,66.34,50,75,0,0,0,0
2011,16,50,50,75,0,0,0,0
2012,16,27.29,50,75,3.1,0,0,3.1
2013,16,4.85,29.85,75,100,0,0,100
2014,16,19.26,44.26,75,37.99,0,0,37.99
2015,16,22.45,22.76,72.76,24.13,0,6.78,30.91
2016,16,45.85,50,75,0,0,0,0
2017,16,40.52,50,75,0,0,0,0
2018,16,58.24,48.53,71.38,0,0,10.97,10.97
2019,16,75,50,75,0,0,0,0
