"","MIXEDET"
"1983",26.7432581241597
"1984",-1.11019971081908
"1985",18.5700348971983
"1986",24.5995854767613
"1987",46.8601714666578
"1988",17.5703349853955
"1989",24.1328904908688
"1990",14.4624263386195
"1991",21.0196063375298
"1992",41.6769565143407
"1993",28.6759872354949
"1994",-10.5896349553457
"1995",14.9874221205233
"1996",1.01601155955616
"1997",45.0642471934877
"1998",25.8394153998582
"1999",19.9840095865988
"2000",11.9
"2001",9.5
"2002",3.2
"2003",24
"2004",5.4
"2005",26.6
"2006",22.7
"2007",50.7
"2008",35.4
"2009",23.5
"2010",45.5
"2011",15.2
"2012",33
"2013",5.9
"2014",20.5
