Time,HainET30Y Evapotranspiration
Jul 1983,25.52826
Jul 1984,17.80775
Jul 1985,23.26278
Jul 1986,24.93407
Jul 1987,31.10433
Jul 1988,22.98568
Jul 1989,24.80471
Jul 1990,22.12422
Jul 1991,23.94176
Jul 1992,29.66763
Jul 1993,26.06398
Jul 1994,15.18021
Jul 1995,22.26974
Jul 1996,18.3971
Jul 1997,30.60653
Jul 1998,25.27773
Jul 1999,23.65471
Jul 2000,34.00657
Jul 2001,26.91328
Jul 2002,20.70982
Jul 2003,30.68
Jul 2004,22.92019
Jul 2005,24.7349
Jul 2006,21.75593
Jul 2007,24.97236
Jul 2008,24.94373
Jul 2009,19.7348
Jul 2010,27.18083
Jul 2011,25.50639
Jul 2012,19.983
Jul 2013,21.72771
