"year","MIXEDET"
1983,18.3807196884779
1984,26.6036073324594
1985,24.200865382138
1986,30.0538740656131
1987,23.6527161464196
1988,24.8976000146172
1989,29.0453259661533
1990,27.1026356821614
1991,29.3808243348425
1992,20.0703785368806
1993,25.3890202123364
1994,33.3796629788248
1995,29.9863668123047
1996,33.3028719686326
1997,24.7198047486365
1998,28.2426206453412
1999,28.744064281387
2000,36.48774
2001,31.94789
2002,22.13513
2003,27.57755
2004,25.32645
2005,27.1374
2006,37.3175
2007,28.42151
2008,28.03923
2009,25.50572
2010,29.06416
2011,31.99547
2012,23.26148
2013,27.502546718531
2014,40.13428
