"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",3.625044,7.368764,4.427004,3.127502,6.788006,5.738558,5.306453,4.878569,2.806653,4.104947,10.52073
"Feb",4.910601,6.571674,5.709284,4.898922,7.503483,8.784751,7.983949,7.166062,5.042,4.947612,12.38672
"Mar",9.300946,13.17847,7.988768,7.329502,11.00464,12.84228,11.33901,10.59181,8.548078,8.069264,11.51885
"Apr",12.58206,17.48803,10.07568,10.68558,13.98001,13.96747,13.12367,13.58484,10.77358,11.57583,17.69679
"May",15.95992,18.66378,17.24973,14.32982,17.90837,19.16846,16.91692,24.45739,16.22641,20.16622,28.81995
"Jun",22.08392,22.98876,25.79024,20.69307,22.21692,26.74125,26.3285,23.4669,18.94338,21.96425,23.88964
"Jul",59.11763,45.6823,48.0014,47.66347,51.63523,55.73789,48.46655,46.54757,37.8441,53.91592,47.1854
"Aug",73.71973,61.97738,59.7435,75.12715,69.4387,74.58179,70.23967,71.04032,59.06475,77.22025,69.49728
"Sep",54.86907,36.03742,35.97461,56.74982,47.12231,49.53243,43.86024,54.33647,38.24537,47.4997,50.12837
"Oct",12.33383,7.110115,6.140101,14.23589,12.07817,10.79249,12.30415,13.35327,7.420432,13.57256,13.21176
"Nov",5.520944,4.224367,2.901885,6.791457,7.092526,5.145443,5.400294,3.86429,3.582042,7.2444,8.268023
"Dec",7.112563,2.993463,3.163637,6.497603,4.217129,5.78247,4.272459,2.781549,4.476762,7.959241,9.918384
