"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",11.03604,10.85907,10.90746,12.93531,13.6484,11.5689,14.45824,13.21379,12.36858,15.48043,14.45618,13.27718,14.80285,16.08418,14.56398,13.41171,17.007,13.40457,15.27825,14.94345,13.82838,15.31346,14.39051,13.58743,16.52978,14.30835,14.65177,14.6152,14.80971,13.88783,14.12378
"Feb",13.69342,6.95632,11.44033,13.29972,12.47913,10.93338,16.89064,12.23426,11.56909,15.33024,13.45191,13.68265,12.80193,16.83157,14.17184,13.62365,13.27272,14.94749,14.7938,16.26023,14.93305,13.24021,12.62364,13.39458,15.25803,14.70395,14.37727,16.03484,13.63654,14.83485,14.35064
"Mar",17.77791,16.75534,16.88689,18.12253,18.0453,15.01065,18.42069,16.01182,19.06397,18.99169,20.891,21.98694,20.63223,23.0679,16.84915,17.51537,21.81409,21.82283,20.55323,23.90792,19.82595,19.55229,20.86786,21.67562,21.67269,20.04901,20.70902,19.94089,19.71725,21.49492,22.04494
"Apr",22.53742,21.04149,20.70375,20.06227,20.35586,19.53501,22.44028,17.28275,24.04623,19.46265,24.49091,22.48422,26.66324,27.1094,19.03286,23.29051,24.11388,23.22008,24.08205,23.58096,24.13186,24.80219,24.93795,24.74163,25.14289,24.27138,23.69076,24.40388,24.16815,24.89126,24.87363
"May",21.66879,21.17524,24.4325,26.39966,27.4494,26.63181,26.63412,21.73362,28.85347,24.47782,28.46085,27.31326,24.93129,33.36177,26.7292,24.34031,29.40046,25.24876,26.75711,25.84222,28.90843,28.38051,25.60741,28.52154,24.16208,26.48662,25.51031,27.21367,27.2274,29.94777,23.60214
"Jun",23.82325,17.95795,20.48435,17.76355,26.45277,22.66448,21.39044,20.11447,24.68169,21.69149,22.56026,19.18738,25.71025,24.51263,24.127,23.65593,23.0639,23.36007,21.71,24.30363,22.46012,22.45221,23.42792,24.99649,22.52553,21.92825,24.2009,22.31626,21.85255,23.58905,21.12892
"Jul",23.61676,24.6022,23.48833,25.42641,29.46614,15.76148,25.32025,21.59519,25.57292,27.55163,23.84307,17.56993,20.37218,27.31418,29.52545,27.30198,27.5512,28.88607,30.44477,27.73581,25.99303,25.06198,26.38466,25.75418,31.91313,23.59379,21.87261,23.89685,30.47681,30.10983,26.436
"Aug",21.44781,29.20066,28.69461,37.26293,34.08931,31.79924,25.27038,35.19374,35.88776,24.83054,31.71161,28.8889,38.32389,35.55051,38.88314,29.24702,40.62852,35.2496,30.86859,33.51323,29.62826,36.18665,34.59495,33.44299,41.07911,34.54648,38.31243,30.61938,33.07472,40.5754,34.29818
"Sep",36.3583,29.45074,36.78505,38.28442,34.33315,37.1414,26.49586,27.14049,37.37613,35.87933,33.81583,38.82801,40.97424,41.33432,35.50129,41.31181,39.8845,34.87455,43.83749,39.04968,38.75818,35.63391,35.56894,40.85164,36.71001,34.11042,45.20018,45.16459,35.48806,39.98192,40.88636
"Oct",24.53199,29.97922,28.38753,32.26484,28.02441,28.84908,31.59673,30.3098,31.81898,25.6513,29.17462,34.468,32.22012,34.41713,28.7313,31.06498,31.39716,30.51503,34.48337,32.75359,35.56293,28.97398,32.62132,37.19934,35.58348,28.84353,30.09942,36.64687,34.64822,32.77894,30.57472
"Nov",20.42508,16.76597,19.43904,18.62021,19.86083,19.84433,21.23553,17.21245,19.65981,20.24054,20.83324,21.38674,23.00423,21.93805,22.66573,23.38886,23.76117,23.48029,23.89195,21.58589,22.04292,20.40331,21.41907,24.2601,22.82826,20.34335,20.8814,22.27506,19.79204,21.48997,21.99287
"Dec",16.93675,13.43869,15.61499,14.81209,15.55618,12.82851,13.30009,14.20506,15.60088,18.05844,15.46321,16.79528,17.30694,17.81871,16.82981,17.87354,18.87042,18.41251,18.58245,17.80244,14.75043,15.64217,15.34783,18.22141,17.2693,16.23817,17.10868,17.20707,17.19887,15.939,17.25046
