"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3187343,0.141594,0.1817054,0.2490175,0.2272723,0.415317,0.2533274,0.1710031,0.2551028,0.2964875,0.2234297,0.2121907,0.2497316,0.3108178,0.2614265,0.3739538,0.3478324,0.2458325,0.2485863,0.2333348,0.3254584,0.2843844,0.2755337,0.2626303,0.2930844,0.2943019
"Aug",0.4376513,0.3932282,0.3515424,0.3043525,0.3526891,0.4730965,0.3476059,0.3705733,0.4175249,0.4553523,0.331361,0.3734106,0.3456347,0.4211444,0.4147864,0.3826464,0.4487694,0.3626421,0.4347152,0.3596286,0.4167415,0.4407558,0.4279598,0.4177678,0.4381158,0.3336132
"Sep",0.5038081,0.4258422,0.4439829,0.2894884,0.3907279,0.4620742,0.4152658,0.5310801,0.3925162,0.3650033,0.3636749,0.4771353,0.3512337,0.551025,0.5108532,0.411103,0.4022728,0.5050198,0.5067947,0.4657864,0.5090712,0.4938676,0.481214,0.4439543,0.4786766,0.4800151
"Oct",0.4399497,0.4230688,0.3765035,0.2673943,0.3353339,0.373067,0.3397002,0.3690288,0.3514977,0.3313828,0.3181508,0.4173065,0.3341517,0.4941855,0.4080638,0.3718875,0.3532473,0.4405823,0.4100477,0.4302548,0.4080812,0.404174,0.4083622,0.358228,0.3836606,0.4053471
"Nov",0.3383234,0.3400698,0.3222286,0.2286021,0.2988968,0.2979082,0.2938723,0.3183599,0.2937691,0.2863544,0.2887191,0.3179659,0.2817471,0.361183,0.3235314,0.3038548,0.3093886,0.3799983,0.3902109,0.394045,0.3829536,0.3116331,0.3434192,0.2817862,0.3018873,0.3311601
"Dec",0.2862798,0.2736651,0.2690805,0.2152493,0.261354,0.2623518,0.2371989,0.3021421,0.2418747,0.2487631,0.2561937,0.2580391,0.2489177,0.3028134,0.2758849,0.2490253,0.2877486,0.3514351,0.3130592,0.343633,0.3340182,0.2628787,0.3079617,0.2491277,0.2673084,0.2692315
"Jan",,0.2194425,0.2439936,0.2350067,0.2355718,0.2318348,0.2431659,0.2317485,0.2556726,0.2215503,0.2156533,0.221239,0.2494365,0.221907,0.2601817,0.2416488,0.2189639,0.2350968,0.2810278,0.2798868,0.2957087,0.2826782,0.2531987,0.2446426,0.2503267,0.241668
"Feb",,0.206991,0.2158365,0.2396999,0.202813,0.2002853,0.2142222,0.1932033,0.2107268,0.1805547,0.2034675,0.1944257,0.2148001,0.1755118,0.2273511,0.2238844,0.216074,0.2116098,0.2644722,0.2563473,0.2490482,0.2706715,0.2107649,0.2261828,0.2235331,0.1980012
"Mar",,0.1932263,0.1684651,0.2177827,0.1993402,0.2014691,0.1774669,0.2189976,0.2088324,0.1901933,0.1901787,0.1915673,0.1969337,0.1699651,0.2182997,0.2043934,0.2017954,0.1940424,0.2139791,0.2294279,0.2138164,0.2250284,0.2203408,0.2114008,0.2135962,0.2005207
"Apr",,0.2193396,0.1914968,0.2114458,0.1849458,0.1869315,0.2042406,0.2014219,0.2286292,0.1743359,0.1782139,0.1912,0.1882081,0.1760446,0.2037056,0.2461273,0.2352328,0.1950769,0.1871494,0.1706243,0.226123,0.2711625,0.174714,0.1868821,0.203384,0.2351118
"May",,0.1842543,0.227429,0.1788386,0.1804602,0.2188872,0.1884619,0.1730402,0.194539,0.1698894,0.1674568,0.1803006,0.2595306,0.1686305,0.2197217,0.2452434,0.2132136,0.1926517,0.1705926,0.2171915,0.1911903,0.224684,0.153406,0.1871912,0.1837177,0.2205301
"Jun",,0.1394832,0.2963936,0.1770811,0.1958792,0.2601115,0.2371595,0.1556785,0.1748354,0.1577858,0.1983286,0.1567151,0.2356122,0.1528179,0.2053581,0.3210148,0.2196867,0.1869611,0.1677483,0.1731872,0.2009111,0.1707547,0.1537982,0.1420488,0.1731895,0.1846872
