"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"20-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Feb",0,0,0.00774300540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2864912,0,0
"24-Feb",0,0,0.0253573594594595,0,0,0,0,0,0,0,0,0,0,0.3610983,0,0,0,0,0,0,0,0.577124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Feb",0,0,0.0185711628571429,0.0185711628571429,0,0.6499907,0,0.0185711628571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Feb",0,0,0.0162640514285714,0,0,0,0,0.0162640514285714,0,0,0,0,0,0,0,0,0,0,0.0162640514285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5692418
"28-Feb",0,0,0,0,0,0.2729774,0,0.00737776756756757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Feb",0.05073806,0,0.05073806,0.05073806,0.05073806,0.5073806,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0,0.05073806,0.05073806,0.05073806,0
"1-Mar",0,0,0,0.3328073,0,0.7173206,0,0.0421341432432432,0,0,0,0,0,0,0,0,0,0,0,0.2947136,0,0,0,0,0,0,0,0,0,0,0,0.2141218,0,0,0,0,0,0
