"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,68.8,50,75,0,0,0,0
1984,16,75,50,75,0,0,0,0
1985,16,48.74,48.74,75,4.49,0,0,4.49
1986,16,52.25,50,75,0,0,0,0
1987,16,75,50,75,0,0,0,0
1988,16,64.62,39.62,75,0,0,0,0
1989,16,70.58,50,75,0,0,0,0
1990,16,50,50,75,0,0,0,0
1991,16,39.19,50,75,38.62,0,0,38.62
1992,16,40.26,50,75,34.77,0,0,34.77
1993,16,59.36,34.36,75,0,0,0,0
1994,16,59.27,50,75,0,0,0,0
1995,16,71.8,50,75,0,0,0,0
1996,16,71.46,46.46,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,66.32,50,75,0,0,0,0
1999,16,38.51,50,75,41.04,0,0,41.04
2000,16,42.58,50,75,26.48,0,0,26.48
2001,16,75,50,75,0,0,0,0
2002,16,50,50,75,0,0,0,0
2003,16,58.5,50,75,0,0,0,0
2004,16,27.79,46.79,71.79,79.31,0,17.81,97.12
2005,16,44.45,50,75,19.83,0,0,19.83
2006,16,75,50,75,0,0,0,0
2007,16,71.52,46.52,75,0,0,0,0
2008,16,69.56,50,75,0,0,0,0
2009,16,64,50,75,0,0,0,0
2010,16,41.31,34.75,75,31.03,0,0,31.03
2011,16,75,50,75,0,0,0,0
2012,16,49.69,50,75,1.11,0,0,1.11
2013,16,50,50,75,0,0,0,0
2014,16,57.33,50,75,0,0,0,0
2015,16,66.22,50,75,0,0,0,0
2016,16,50,50,75,0,0,0,0
2017,16,67.87,50,75,0,0,0,0
2018,16,75,50,75,0,0,0,0
2019,16,74.73,50,75,0,0,0,0
