"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.6,5.02,51.46,0,0,30.5,30.5
1984,16,19.14,20.36,57.81,0,0,7.81,7.81
1985,16,3.31,26.17,75,100,0,0,100
1986,16,49.18,50,75,0,0,0,0
1987,16,41.62,24.6,56.55,0,0,12.32,12.32
1988,16,24.21,44.42,75,0,0,0,0
1989,16,44.21,49.45,63.2,0,0,0,0
1990,16,10.48,22.77,50.68,0,0,33.27,33.27
1991,16,42.91,45.45,75,0,0,0,0
1992,16,6.54,6.54,50,61.54,0,35.71,97.26
1993,16,29.09,28.52,75,0,0,0,0
1994,16,33.4,50,75,0,0,0,0
1995,16,19.9,29.28,59.38,0,0,2.2,2.2
1996,16,61.88,36.88,75,0,0,0,0
1997,16,17.42,30.76,75,0,0,0,0
1998,16,28.19,50,75,0,0,0,0
1999,16,17.03,42.03,75,0,0,0,0
2000,16,22.33,44.85,75,0,0,0,0
2001,16,29.31,42.7,67.7,0,0,0,0
2002,16,4.58,12.8,44.9,100,0,53.94,153.94
2003,16,29.06,32.43,60.36,0,0,0,0
2004,16,9.6,34.6,74.48,0,0,0,0
2005,16,50,50,75,0,0,0,0
2006,16,35.44,50,75,0,0,0,0
2007,16,5.09,26.55,75,97.78,0,0,97.78
2008,16,6.73,25,69.96,56.73,0,0,56.73
2009,16,10.99,24.47,63.47,0,0,0,0
2010,16,39.17,40.57,75,0,0,0,0
2011,16,24.88,19.76,57.1,0,0,10.35,10.35
2012,16,15.71,33.27,67.55,0,0,0,0
2013,16,9.06,34.06,75,0,0,0,0
2014,16,1.25,25.42,75,100,0,0,100
2015,16,9.24,10.87,40.53,0,0,69.54,69.54
2016,16,9.1,24.32,74.32,0,0,0,0
2017,16,4.51,25,75,100,0,0,100
2018,16,26.17,36.63,75,0,0,0,0
2019,16,40.23,35.89,75,0,0,0,0
