"","MIXEDET"
"1983",-22.1117747877763
"1984",14.5418829868151
"1985",29.9412753450184
"1986",38.345761219759
"1987",-11.5097428299158
"1988",29.2613813282234
"1989",65.220790081744
"1990",11.894902226972
"1991",16.1231072149323
"1992",30.6971688558788
"1993",26.5167455250076
"1994",62.7044398608097
"1995",47.0934547395826
"1996",36.6432577126611
"1997",23.8943323296249
"1998",47.8903625483735
"1999",63.429080476647
"2000",25.6
"2001",6.4
"2002",2.2
"2003",24.2
"2004",10.4
"2005",39.8
"2006",62.9
"2007",79.3
"2008",60.9
"2009",30.7
"2010",60.7
"2011",48.3
"2012",38.7
"2013",46.7
"2014",46.9
