Time,HainET30Y Evapotranspiration
Jul 1983,31.7335
Jul 1984,14.70917
Jul 1985,24.58275
Jul 1986,26.59732
Jul 1987,43.24652
Jul 1988,25.21172
Jul 1989,32.77883
Jul 1990,26.17408
Jul 1991,25.70568
Jul 1992,29.73321
Jul 1993,26.27625
Jul 1994,18.10912
Jul 1995,27.11829
Jul 1996,21.57943
Jul 1997,19.17869
Jul 1998,26.27735
Jul 1999,32.28655
Jul 2000,32.90312
Jul 2001,35.22241
Jul 2002,32.75496
Jul 2003,26.05714
Jul 2004,29.76929
Jul 2005,21.48042
Jul 2006,20.19174
Jul 2007,23.66038
Jul 2008,32.11064
Jul 2009,19.63829
Jul 2010,22.54844
Jul 2011,20.86025
Jul 2012,15.65479
Jul 2013,19.39639
