"time","crop","value"
"1983","Barley",81
"1984","Barley",100
"1985","Barley",95
"1986","Barley",73
"1987","Barley",98
"1988","Barley",93
"1989","Barley",91
"1990","Barley",57
"1991","Barley",100
"1992","Barley",59
"1993","Barley",86
"1994","Barley",100
"1995","Barley",75
"1996","Barley",97
"1997","Barley",100
"1998","Barley",97
"1999","Barley",70
"2000","Barley",62
"2001","Barley",86
"2002","Barley",77
"2003","Barley",88
"2004","Barley",61
"2005","Barley",91
"2006","Barley",95
"2007","Barley",99
"2008","Barley",100
"2009","Barley",86
"2010","Barley",69
"2011","Barley",100
"2012","Barley",69
"2013","Barley",100
"2014","Barley",100
"2015","Barley",100
"2016","Barley",100
"2017","Barley",100
"2018","Barley",100
"1983","Maize",78
"1984","Maize",100
"1985","Maize",96
"1986","Maize",71
"1987","Maize",94
"1988","Maize",89
"1989","Maize",92
"1990","Maize",67
"1991","Maize",100
"1992","Maize",89
"1993","Maize",86
"1994","Maize",100
"1995","Maize",73
"1996","Maize",97
"1997","Maize",100
"1998","Maize",97
"1999","Maize",68
"2000","Maize",84
"2001","Maize",86
"2002","Maize",75
"2003","Maize",85
"2004","Maize",65
"2005","Maize",87
"2006","Maize",95
"2007","Maize",99
"2008","Maize",100
"2009","Maize",83
"2010","Maize",86
"2011","Maize",99
"2012","Maize",85
"2013","Maize",100
"2014","Maize",100
"2015","Maize",100
"2016","Maize",100
"2017","Maize",98
"2018","Maize",100
"1983","Sorghum",79
"1984","Sorghum",100
"1985","Sorghum",96
"1986","Sorghum",72
"1987","Sorghum",95
"1988","Sorghum",90
"1989","Sorghum",91
"1990","Sorghum",69
"1991","Sorghum",100
"1992","Sorghum",90
"1993","Sorghum",88
"1994","Sorghum",100
"1995","Sorghum",73
"1996","Sorghum",97
"1997","Sorghum",100
"1998","Sorghum",97
"1999","Sorghum",66
"2000","Sorghum",84
"2001","Sorghum",86
"2002","Sorghum",77
"2003","Sorghum",85
"2004","Sorghum",66
"2005","Sorghum",88
"2006","Sorghum",95
"2007","Sorghum",99
"2008","Sorghum",100
"2009","Sorghum",83
"2010","Sorghum",87
"2011","Sorghum",100
"2012","Sorghum",86
"2013","Sorghum",100
"2014","Sorghum",100
"2015","Sorghum",100
"2016","Sorghum",100
"2017","Sorghum",98
"2018","Sorghum",100
"1983","Teff",48
"1984","Teff",100
"1985","Teff",76
"1986","Teff",100
"1987","Teff",58
"1988","Teff",94
"1989","Teff",78
"1990","Teff",79
"1991","Teff",90
"1992","Teff",79
"1993","Teff",83
"1994","Teff",98
"1995","Teff",55
"1996","Teff",86
"1997","Teff",97
"1998","Teff",81
"1999","Teff",100
"2000","Teff",85
"2001","Teff",88
"2002","Teff",98
"2003","Teff",88
"2004","Teff",82
"2005","Teff",92
"2006","Teff",97
"2007","Teff",100
"2008","Teff",85
"2009","Teff",95
"2010","Teff",61
"2011","Teff",87
"2012","Teff",94
"2013","Teff",94
"2014","Teff",100
"2015","Teff",100
"2016","Teff",93
"2017","Teff",71
"2018","Teff",93
"1983","Wheat",78
"1984","Wheat",92
"1985","Wheat",80
"1986","Wheat",81
"1987","Wheat",87
"1988","Wheat",94
"1989","Wheat",90
"1990","Wheat",62
"1991","Wheat",80
"1992","Wheat",65
"1993","Wheat",94
"1994","Wheat",99
"1995","Wheat",44
"1996","Wheat",88
"1997","Wheat",100
"1998","Wheat",62
"1999","Wheat",78
"2000","Wheat",68
"2001","Wheat",71
"2002","Wheat",86
"2003","Wheat",87
"2004","Wheat",66
"2005","Wheat",90
"2006","Wheat",84
"2007","Wheat",90
"2008","Wheat",95
"2009","Wheat",96
"2010","Wheat",77
"2011","Wheat",89
"2012","Wheat",76
"2013","Wheat",73
"2014","Wheat",85
"2015","Wheat",100
"2016","Wheat",74
"2017","Wheat",52
"2018","Wheat",100
