"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.27,5.54,52.22,0,0,40.53,40.53
1984,16,16.08,8.68,45.73,0,0,59.62,59.62
1985,16,1.07,26.07,75,100,0,0,100
1986,16,48.95,50,75,0,0,0,0
1987,16,40.01,32.99,64.73,0,0,3.72,3.72
1988,16,22.46,41.99,75,0,0,0,0
1989,16,43.32,49.17,70.07,0,0,0,0
1990,16,11.48,25.79,52.18,7.49,0,40.66,48.15
1991,16,41.75,44.37,75,0,0,0,0
1992,16,8.31,0,50,52.74,0,47.06,99.8
1993,16,33.94,32.65,74.24,0,0,0,0
1994,16,24.7,44.59,75,0,0,0,0
1995,16,9,34,75,42.88,0,0,42.88
1996,16,61.9,36.9,75,0,0,0,0
1997,16,48.77,43.07,75,0,0,0,0
1998,16,25,50,75,0,0,0,0
1999,16,16.82,41.82,75,0,0,0,0
2000,16,21.77,44.32,75,0,0,0,0
2001,16,27.27,44.07,71.07,0,0,0,0
2002,16,22.98,12.81,39.75,0,0,77.21,77.21
2003,16,26.63,37.18,66.28,0,0,0,0
2004,16,13.23,38.23,75,0,0,0,0
2005,16,41.88,41.88,75,0,0,0,0
2006,16,35.83,50,75,0,0,0,0
2007,16,3.38,25,75,100,0,0,100
2008,16,11.38,25,75,8.89,0,0,8.89
2009,16,15.2,31,65.8,0,0,0.59,0.59
2010,16,27.23,35.76,75,0,0,0,0
2011,16,38.7,28.05,60.8,0,0,15.3,15.3
2012,16,15.9,40.9,75,0,0,0,0
2013,16,6.73,31.73,75,75.27,0,0,75.27
2014,16,12.13,25,75,0,0,0,0
2015,16,0,5.47,51.53,100,0,42.57,142.57
2016,16,22.72,23.48,73.48,0,0,0,0
2017,16,0,25,75,100,0,0,100
2018,16,48.93,44,75,0,0,0,0
2019,16,54.23,50,75,0,0,0,0
