Time,HainET30Y Evapotranspiration
Jul 1983,23.13401
Jul 1984,14.10836
Jul 1985,25.80954
Jul 1986,23.78388
Jul 1987,34.07221
Jul 1988,20.65545
Jul 1989,18.50927
Jul 1990,17.55759
Jul 1991,28.67917
Jul 1992,26.04352
Jul 1993,24.99461
Jul 1994,18.46751
Jul 1995,25.58011
Jul 1996,25.23913
Jul 1997,25.9269
Jul 1998,17.15394
Jul 1999,26.6922
Jul 2000,32.70379
Jul 2001,24.5654
Jul 2002,27.59427
Jul 2003,27.81076
Jul 2004,30.5648
Jul 2005,23.2414
Jul 2006,26.29156
Jul 2007,15.12968
Jul 2008,19.27698
Jul 2009,14.31853
Jul 2010,27.83066
Jul 2011,15.84305
Jul 2012,30.45199
Jul 2013,18.55455
