T2,MODIS HAIN ET
Oct 2000,20.3
Oct 2001,24.0
Oct 2002,24.6
Oct 2003,35.1
Oct 2004,23.6
Oct 2005,42.7
Oct 2006,51.1
Oct 2007,70.2
Oct 2008,58.1
Oct 2009,42.6
Oct 2010,66.9
Oct 2011,29.7
Oct 2012,32.1
Oct 2013,34.2
Oct 2014,36.5
