"","MIXEDET"
"1983",14.380791408491
"1984",27.6824449564948
"1985",37.5044062859348
"1986",40.4356883058555
"1987",15.7433431674951
"1988",15.7435956438483
"1989",42.2881704281981
"1990",14.335061629022
"1991",3.17434443686476
"1992",37.8837520065821
"1993",41.0096617352576
"1994",57.0797500553833
"1995",55.9814147999782
"1996",50.5364150887463
"1997",30.0781930717844
"1998",60.4523923002003
"1999",64.8010134477643
"2000",20.3
"2001",24
"2002",24.6
"2003",35.1
"2004",23.6
"2005",42.7
"2006",51.1
"2007",70.2
"2008",58.1
"2009",42.6
"2010",66.9
"2011",29.7
"2012",32.1
"2013",34.2
"2014",36.5
