"","MIXEDET"
"1983",29.9483338653327
"1984",-1.63319021458646
"1985",39.3102429933784
"1986",32.2222847778783
"1987",68.222034561789
"1988",21.2756396744961
"1989",13.7659716339848
"1990",10.4359616251347
"1991",49.3513246822826
"1992",40.1289590973952
"1993",36.4587329726654
"1994",13.6198498094539
"1995",38.5074477299175
"1996",37.3143294413986
"1997",39.7208957071463
"1998",9.02355562724433
"1999",42.3987460977954
"2000",12
"2001",19.2
"2002",7.5
"2003",39.1
"2004",12.4
"2005",36.6
"2006",29
"2007",66
"2008",55.5
"2009",33.3
"2010",55.5
"2011",17.9
"2012",46.4
"2013",10.1
"2014",25
