Time,NDVI
Oct 1981,0.4466291
Oct 1982,0.4357742
Oct 1983,0.3676129
Oct 1984,0.2742742
Oct 1985,0.3123548
Oct 1986,0.3700646
Oct 1987,0.3710645
Oct 1988,0.4124678
Oct 1989,0.2973548
Oct 1990,0.2713065
Oct 1991,0.3450162
Oct 1992,0.4033387
Oct 1993,0.3364516
Oct 1994,0.5107742
Oct 1995,0.4228226
Oct 1996,0.3920807
Oct 1997,0.3624194
Oct 1998,0.5376129
Oct 1999,0.4970807
Oct 2000,0.4674839
Oct 2001,0.5319839
Oct 2002,0.4774355
Oct 2003,0.4480162
Oct 2004,0.310742
Oct 2005,0.3865645
Oct 2006,0.4465806
