"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,11.32,6.82,53.05,54.89,0,60.44,115.33
1984,16,75,27.37,52.37,0,0,62.53,62.53
1985,16,2.38,19.81,67.43,100,0,16.87,116.87
1986,16,64.1,50,75,0,0,0,0
1987,16,34.24,34.24,55.2,0,0,53.92,53.92
1988,16,13.37,33.56,75,40.19,0,0,40.19
1989,16,16.51,39.53,75,17.79,0,0,17.79
1990,16,18.65,43.65,75,2.52,0,0,2.52
1991,16,41.19,50,75,0,0,0,0
1992,16,21.88,12.3,50,0,0,69.7,69.7
1993,16,44.61,44.11,75,0,0,0,0
1994,16,25,50,75,0,0,0,0
1995,16,28.18,47.68,72.68,0,0,0.97,0.97
1996,16,50,25,75,0,0,0,0
1997,16,68.63,43.63,75,0,0,0,0
1998,16,15.15,30.76,75,27.53,0,0,27.53
1999,16,43.22,50,75,0,0,0,0
2000,16,18.5,36.32,75,3.58,0,0,3.58
2001,16,59,50,75,0,0,0,0
2002,16,38.49,50,72.6,0,0,1.21,1.21
2003,16,20.84,34.28,75,0,0,0,0
2004,16,25,29.94,54.94,0,0,54.72,54.72
2005,16,19.63,44.63,75,0,0,0,0
2006,16,23.63,37.33,75,0,0,0,0
2007,16,38.61,41.49,75,0,0,0,0
2008,16,39.53,37.93,75,0,0,0,0
2009,16,25,25,75,0,0,0,0
2010,16,31.6,41.9,67.8,0,0,15.77,15.77
2011,16,50.72,50,75,0,0,0,0
2012,16,13.97,38.97,75,35.9,0,0,35.9
2013,16,59.3,50,75,0,0,0,0
2014,16,25,50,75,0,0,0,0
2015,16,38.68,28.77,53.77,0,0,58.27,58.27
2016,16,60.52,50,75,0,0,0,0
2017,16,4.17,25,75,100,0,0,100
2018,16,70.85,45.85,75,0,0,0,0
2019,16,49.59,45.82,75,0,0,0,0
